,call_type,latitude,longitude
3,Alarms,37.7903193,-122.4231629
4,Alarms,37.77732776,-122.3930886
5,Alarms,37.75689017,-122.42222930000001
8,Alarms,37.80711992,-122.41642790000002
45,Alarms,37.78299265,-122.39052849999999
54,Alarms,37.75436288,-122.42321609999999
66,Alarms,37.7903193,-122.4231629
76,Alarms,37.74691023,-122.42582379999999
83,Alarms,37.77991167,-122.4074744
84,Alarms,37.77732776,-122.3930886
87,Alarms,37.74691023,-122.42582379999999
91,Alarms,37.7877641,-122.4099253
93,Alarms,37.78420567,-122.40761270000002
106,Alarms,37.77991167,-122.4074744
120,Alarms,37.77991167,-122.4074744
126,Alarms,37.7841909,-122.41011950000001
137,Alarms,37.75436288,-122.42321609999999
143,Alarms,37.78935407,-122.4000324
148,Alarms,37.7825474,-122.41224790000001
149,Alarms,37.78729529,-122.4158061
153,Alarms,37.72569336,-122.45228970000001
178,Alarms,37.80711992,-122.41642790000002
180,Alarms,37.7825474,-122.41224790000001
190,Alarms,37.77299247,-122.47615790000002
191,Alarms,37.78420567,-122.40761270000002
193,Alarms,37.77416171,-122.489139
196,Alarms,37.74691023,-122.42582379999999
198,Alarms,37.78316766,-122.39782549999998
203,Alarms,37.79569128,-122.43942369999999
205,Alarms,37.79129325,-122.3986146
221,Alarms,37.78137782,-122.43316200000001
230,Alarms,37.78137782,-122.43316200000001
232,Alarms,37.79569128,-122.43942369999999
244,Alarms,37.78818604,-122.4059182
256,Alarms,37.78726854,-122.4001889
257,Alarms,37.78299265,-122.39052849999999
261,Alarms,37.79129325,-122.3986146
263,Alarms,37.77416171,-122.489139
266,Alarms,37.79746472,-122.4146678
268,Alarms,37.75366959,-122.4222784
277,Alarms,37.75689017,-122.42222930000001
281,Alarms,37.72569336,-122.45228970000001
286,Alarms,37.77991167,-122.4074744
301,Alarms,37.79129325,-122.3986146
309,Alarms,37.76990742,-122.42911090000001
339,Alarms,37.75016484,-122.41283190000001
360,Alarms,37.77010383,-122.39104340000002
365,Alarms,37.78316766,-122.39782549999998
377,Alarms,37.7877641,-122.4099253
379,Alarms,37.78729529,-122.4158061
398,Alarms,37.7841909,-122.41011950000001
403,Alarms,37.78870661,-122.39901019999999
408,Alarms,37.78818604,-122.4059182
414,Alarms,37.77299247,-122.47615790000002
439,Alarms,37.75016484,-122.41283190000001
440,Alarms,37.75016484,-122.41283190000001
441,Alarms,37.78420567,-122.40761270000002
442,Alarms,37.78870661,-122.39901019999999
445,Alarms,37.78845684,-122.4018373
458,Alarms,37.79051268,-122.40221670000001
460,Alarms,37.78729529,-122.4158061
470,Alarms,37.74691023,-122.42582379999999
478,Alarms,37.79589953,-122.4377815
479,Alarms,37.77991167,-122.4074744
480,Alarms,37.78726854,-122.4001889
498,Alarms,37.7825474,-122.41224790000001
499,Alarms,37.75366959,-122.4222784
506,Alarms,37.79051268,-122.40221670000001
507,Alarms,37.77299247,-122.47615790000002
513,Alarms,37.78730401,-122.39638049999999
515,Alarms,37.79129325,-122.3986146
516,Alarms,37.77991167,-122.4074744
534,Alarms,37.78935407,-122.4000324
538,Alarms,37.79129325,-122.3986146
545,Alarms,37.78420567,-122.40761270000002
552,Alarms,37.76990742,-122.42911090000001
556,Alarms,37.78870661,-122.39901019999999
562,Alarms,37.79746472,-122.4146678
571,Alarms,37.72569336,-122.45228970000001
581,Alarms,37.78137782,-122.43316200000001
595,Alarms,37.7841909,-122.41011950000001
621,Alarms,37.78726854,-122.4001889
647,Alarms,37.75366959,-122.4222784
653,Alarms,37.79589953,-122.4377815
654,Alarms,37.77732776,-122.3930886
665,Alarms,37.78316766,-122.39782549999998
667,Alarms,37.78299265,-122.39052849999999
675,Alarms,37.7903193,-122.4231629
682,Alarms,37.78730401,-122.39638049999999
685,Alarms,37.75436288,-122.42321609999999
687,Alarms,37.76990742,-122.42911090000001
695,Alarms,37.78420567,-122.40761270000002
698,Alarms,37.79746472,-122.4146678
699,Alarms,37.78137782,-122.43316200000001
700,Alarms,37.78845684,-122.4018373
725,Alarms,37.79589953,-122.4377815
729,Alarms,37.79051268,-122.40221670000001
736,Alarms,37.77010383,-122.39104340000002
749,Alarms,37.78818604,-122.4059182
754,Alarms,37.78729529,-122.4158061
757,Alarms,37.78818604,-122.4059182
765,Alarms,37.78845684,-122.4018373
771,Alarms,37.79569128,-122.43942369999999
772,Alarms,37.79129325,-122.3986146
788,Alarms,37.75689017,-122.42222930000001
803,Alarms,37.78730401,-122.39638049999999
810,Alarms,37.80711992,-122.41642790000002
817,Alarms,37.78420567,-122.40761270000002
826,Alarms,37.77416171,-122.489139
828,Alarms,37.78935407,-122.4000324
834,Alarms,37.7877641,-122.4099253
836,Alarms,37.77010383,-122.39104340000002
851,Alarms,37.77523622,-122.41440630000001
869,Alarms,37.76324376,-122.4631061
873,Alarms,37.71064899,-122.41246880000001
897,Alarms,37.78229062,-122.44011950000001
901,Alarms,37.783359000000004,-122.4166949
912,Alarms,37.78252242,-122.4232744
925,Alarms,37.78900115,-122.4011429
943,Alarms,37.78229062,-122.44011950000001
956,Alarms,37.7604107,-122.44634350000001
957,Alarms,37.78574028,-122.41380430000001
973,Alarms,37.77863959,-122.41012079999999
982,Alarms,37.76324376,-122.4631061
992,Alarms,37.77863959,-122.41012079999999
1011,Alarms,37.78284503,-122.41322179999999
1014,Alarms,37.77537256,-122.4843242
1036,Alarms,37.78900115,-122.4011429
1112,Alarms,37.77523622,-122.41440630000001
1125,Alarms,37.77288298,-122.39227179999999
1137,Alarms,37.783359000000004,-122.4166949
1162,Alarms,37.82226471,-122.36804409999999
1169,Alarms,37.78428162,-122.40461459999999
1171,Alarms,37.71901187,-122.48045069999999
1175,Alarms,37.76795763,-122.4037477
1186,Alarms,37.73585083,-122.50306200000001
1194,Alarms,37.79188539,-122.3933412
1199,Alarms,37.78012429,-122.4458936
1202,Alarms,37.77708346,-122.41697930000001
1203,Alarms,37.82226471,-122.36804409999999
1220,Alarms,37.78252242,-122.4232744
1227,Alarms,37.77288298,-122.39227179999999
1242,Alarms,37.77288298,-122.39227179999999
1249,Alarms,37.77863959,-122.41012079999999
1277,Alarms,37.77523622,-122.41440630000001
1286,Alarms,37.78574028,-122.41380430000001
1293,Alarms,37.76750446,-122.4289486
1301,Alarms,37.79188539,-122.3933412
1304,Alarms,37.78574028,-122.41380430000001
1308,Alarms,37.71331778,-122.4728759
1314,Alarms,37.7604107,-122.44634350000001
1318,Alarms,37.78863528,-122.4169903
1323,Alarms,37.78284503,-122.41322179999999
1330,Alarms,37.76795763,-122.4037477
1333,Alarms,37.783359000000004,-122.4166949
1343,Alarms,37.77708346,-122.41697930000001
1365,Alarms,37.80544605,-122.4228419
1372,Alarms,37.77537256,-122.4843242
1375,Alarms,37.78428162,-122.40461459999999
1376,Alarms,37.77537256,-122.4843242
1377,Alarms,37.71064899,-122.41246880000001
1385,Alarms,37.76750446,-122.4289486
1400,Alarms,37.78255696,-122.4163494
1409,Alarms,37.71901187,-122.48045069999999
1411,Alarms,37.78012429,-122.4458936
1421,Alarms,37.77537256,-122.4843242
1436,Alarms,37.78229062,-122.44011950000001
1456,Alarms,37.78863528,-122.4169903
1459,Alarms,37.71064899,-122.41246880000001
1462,Alarms,37.79188539,-122.3933412
1474,Alarms,37.77388278,-122.44272820000002
1480,Alarms,37.78863528,-122.4169903
1486,Alarms,37.76795763,-122.4037477
1500,Alarms,37.71331778,-122.4728759
1509,Alarms,37.78428162,-122.40461459999999
1511,Alarms,37.73585083,-122.50306200000001
