,call_type,latitude,longitude
7,Traffic Collision,37.76924401,-122.40800719999999
27,Other,37.72229807,-122.4113031
42,Traffic Collision,37.75414577,-122.4786157
43,Traffic Collision,37.77578731,-122.3933551
44,Gas Leak (Natural and LP Gases),37.77684957,-122.4213512
48,Traffic Collision,37.76495166,-122.4319376
80,Traffic Collision,37.72378785,-122.4364493
117,Traffic Collision,37.71347595,-122.43454109999999
118,Traffic Collision,37.79184209,-122.3949402
124,Outside Fire,37.76042745,-122.41096200000001
129,Gas Leak (Natural and LP Gases),37.76182764,-122.3983307
130,Gas Leak (Natural and LP Gases),37.76182764,-122.3983307
139,Electrical Hazard,37.73605995,-122.49233190000001
140,Vehicle Fire,37.75124396,-122.42158529999999
157,Outside Fire,37.79983846,-122.42845679999999
165,Traffic Collision,37.73243866,-122.4056075
169,Traffic Collision,37.77578731,-122.3933551
176,Traffic Collision,37.72378785,-122.4364493
185,Gas Leak (Natural and LP Gases),37.75754536,-122.47300030000001
188,Traffic Collision,37.74801345,-122.42248740000001
189,Traffic Collision,37.71347595,-122.43454109999999
192,Citizen Assist / Service Call,37.77070870000001,-122.4077168
194,Citizen Assist / Service Call,37.75729278,-122.3957719
199,Fuel Spill,37.73486828,-122.411052
213,Citizen Assist / Service Call,37.75255649,-122.45111399999999
234,Traffic Collision,37.76946255,-122.40621340000001
265,Traffic Collision,37.76946255,-122.40621340000001
270,Traffic Collision,37.77531731,-122.427724
275,Traffic Collision,37.74252073,-122.4043063
295,Outside Fire,37.76164305,-122.4120503
300,Traffic Collision,37.77085213,-122.41367920000002
338,Traffic Collision,37.75617132,-122.4198655
341,Gas Leak (Natural and LP Gases),37.75754536,-122.47300030000001
348,Traffic Collision,37.74801345,-122.42248740000001
366,Traffic Collision,37.76924401,-122.40800719999999
381,Smoke Investigation (Outside),37.73438048,-122.43879740000001
385,Traffic Collision,37.76495166,-122.4319376
401,Vehicle Fire,37.75124396,-122.42158529999999
409,Gas Leak (Natural and LP Gases),37.72465238,-122.40228859999999
412,Traffic Collision,37.75414577,-122.4786157
413,Gas Leak (Natural and LP Gases),37.77684957,-122.4213512
420,Other,37.73605995,-122.49233190000001
432,Gas Leak (Natural and LP Gases),37.75754536,-122.47300030000001
435,Citizen Assist / Service Call,37.78119999,-122.4303649
437,Other,37.72229807,-122.4113031
443,Traffic Collision,37.79184209,-122.3949402
451,Traffic Collision,37.73243866,-122.4056075
457,Traffic Collision,37.78239164,-122.4473015
475,Gas Leak (Natural and LP Gases),37.79009247,-122.4426337
486,Traffic Collision,37.77531731,-122.427724
497,Other,37.72229807,-122.4113031
528,Outside Fire,37.76042745,-122.41096200000001
529,Other,37.78697332,-122.4258459
532,Outside Fire,37.76042745,-122.41096200000001
536,Outside Fire,37.73956627,-122.40697859999999
539,Traffic Collision,37.76495166,-122.4319376
543,Traffic Collision,37.72378785,-122.4364493
550,Traffic Collision,37.78239164,-122.4473015
553,Traffic Collision,37.76495166,-122.4319376
574,Outside Fire,37.79983846,-122.42845679999999
603,Traffic Collision,37.71347595,-122.43454109999999
611,Outside Fire,37.76042745,-122.41096200000001
615,Smoke Investigation (Outside),37.75008261,-122.4433473
670,Traffic Collision,37.74252073,-122.4043063
677,Traffic Collision,37.77085213,-122.41367920000002
728,Traffic Collision,37.76495166,-122.4319376
756,Traffic Collision,37.76495166,-122.4319376
760,Elevator / Escalator Rescue,37.78403808,-122.42642430000001
764,Traffic Collision,37.75617132,-122.4198655
779,Citizen Assist / Service Call,37.75508303,-122.4112654
784,Gas Leak (Natural and LP Gases),37.76182764,-122.3983307
795,Outside Fire,37.76042745,-122.41096200000001
805,Outside Fire,37.72405744,-122.3899483
838,Traffic Collision,37.74222503,-122.4944433
842,Outside Fire,37.81917592,-122.3710999
