,call_type,latitude,longitude
6,Structure Fire,37.783359000000004,-122.4166949
15,Structure Fire,37.78521736,-122.4170696
19,Structure Fire,37.783359000000004,-122.4166949
32,Structure Fire,37.77025923,-122.43183229999998
51,Structure Fire,37.79860278,-122.4231486
58,Structure Fire,37.79860278,-122.4231486
72,Structure Fire,37.77428384,-122.46708810000001
75,Structure Fire,37.77025923,-122.43183229999998
78,Structure Fire,37.77025923,-122.43183229999998
100,Structure Fire,37.79049502,-122.4023533
104,Structure Fire,37.77428384,-122.46708810000001
108,Structure Fire,37.79860278,-122.4231486
152,Structure Fire,37.79860278,-122.4231486
171,Structure Fire,37.80769049,-122.41232959999999
174,Structure Fire,37.78640961,-122.4080362
177,Structure Fire,37.75599844,-122.4094331
186,Structure Fire,37.783359000000004,-122.4166949
202,Structure Fire,37.79049502,-122.4023533
208,Structure Fire,37.75599844,-122.4094331
226,Structure Fire,37.77025923,-122.43183229999998
233,Structure Fire,37.80769049,-122.41232959999999
252,Structure Fire,37.80769049,-122.41232959999999
260,Structure Fire,37.78521736,-122.4170696
262,Structure Fire,37.77428384,-122.46708810000001
267,Structure Fire,37.783359000000004,-122.4166949
289,Structure Fire,37.79860278,-122.4231486
292,Structure Fire,37.78521736,-122.4170696
293,Structure Fire,37.79049502,-122.4023533
298,Structure Fire,37.71645955,-122.4410196
313,Structure Fire,37.78521736,-122.4170696
319,Structure Fire,37.75599844,-122.4094331
330,Structure Fire,37.77428384,-122.46708810000001
333,Structure Fire,37.75599844,-122.4094331
350,Structure Fire,37.77025923,-122.43183229999998
351,Structure Fire,37.79860278,-122.4231486
364,Structure Fire,37.77025923,-122.43183229999998
374,Structure Fire,37.77025923,-122.43183229999998
380,Structure Fire,37.78640961,-122.4080362
382,Structure Fire,37.78640961,-122.4080362
389,Structure Fire,37.79049502,-122.4023533
395,Structure Fire,37.78640961,-122.4080362
407,Structure Fire,37.75599844,-122.4094331
421,Structure Fire,37.78521736,-122.4170696
426,Structure Fire,37.79049502,-122.4023533
433,Structure Fire,37.79049502,-122.4023533
434,Structure Fire,37.77428384,-122.46708810000001
447,Structure Fire,37.79049502,-122.4023533
456,Structure Fire,37.78521736,-122.4170696
463,Structure Fire,37.78878689,-122.4270597
472,Structure Fire,37.783359000000004,-122.4166949
485,Structure Fire,37.77025923,-122.43183229999998
488,Structure Fire,37.79531294,-122.39797479999999
493,Structure Fire,37.79860278,-122.4231486
494,Structure Fire,37.783359000000004,-122.4166949
496,Structure Fire,37.78521736,-122.4170696
503,Structure Fire,37.71645955,-122.4410196
526,Structure Fire,37.77428384,-122.46708810000001
527,Structure Fire,37.77428384,-122.46708810000001
535,Structure Fire,37.79049502,-122.4023533
546,Structure Fire,37.78640961,-122.4080362
561,Structure Fire,37.78521736,-122.4170696
567,Structure Fire,37.79049502,-122.4023533
