"call_type	received_timestamp	disptach_timestamp"
"Medical Incident	 17:36:16	 17:39:41"
"Medical Incident	 07:05:05	 07:05:31"
"Medical Incident	 02:04:21	 02:06:04"
"Alarms	 20:04:15	 20:05:24"
"Alarms	 20:03:08	 20:05:57"
"Alarms	 21:18:56	 21:21:18"
"Structure Fire	 12:24:27	 12:26:56"
"Traffic Collision	 19:51:29	 19:53:41"
"Alarms	 22:26:22	 22:27:47"
"Medical Incident	 10:35:00	 10:37:06"
"Medical Incident	 12:53:39	 12:55:17"
"Medical Incident	 14:36:16	 14:45:58"
"Medical Incident	 17:56:16	 17:59:52"
"Medical Incident	 16:48:13	 16:51:46"
"Medical Incident	 19:41:44	 19:45:15"
"Structure Fire	 00:19:30	 00:35:09"
"Medical Incident	 12:08:29	 12:10:43"
"Medical Incident	 14:54:21	 15:01:11"
"Medical Incident	 21:42:22	 21:47:16"
"Structure Fire	 12:24:27	 12:25:47"
"Medical Incident	 14:10:45	 14:12:10"
"Medical Incident	 10:40:14	 10:41:22"
"Medical Incident	 11:52:30	 11:52:59"
"Medical Incident	 14:51:27	 15:01:45"
"Medical Incident	 08:50:47	 08:52:29"
"Medical Incident	 15:31:54	 15:33:39"
"Medical Incident	 13:19:28	 13:22:11"
"Other	 19:07:16	 21:45:14"
"Medical Incident	 03:14:26	 03:16:45"
"Medical Incident	 11:59:40	 12:01:55"
"Medical Incident	 12:16:45	 12:18:05"
"Medical Incident	 11:55:50	 11:58:28"
"Structure Fire	 14:33:15	 14:34:43"
"Medical Incident	 13:02:34	 13:04:14"
"Medical Incident	 20:13:05	 20:14:22"
"Medical Incident	 03:20:30	 03:21:38"
"Medical Incident	 11:26:29	 11:52:42"
"Medical Incident	 16:17:08	 16:18:08"
"Medical Incident	 23:15:08	 23:16:25"
"Medical Incident	 13:34:18	 13:36:24"
"Medical Incident	 17:06:42	 17:08:42"
"Medical Incident	 16:56:59	 16:57:39"
"Traffic Collision	 19:31:36	 19:32:11"
"Traffic Collision	 15:14:20	 15:20:17"
"Gas Leak (Natural and LP Gases)	 21:24:04	 21:27:13"
"Alarms	 04:19:20	 04:22:02"
"Medical Incident	 07:24:45	 07:26:18"
"Medical Incident	 10:25:47	 10:28:31"
"Traffic Collision	 14:36:10	 14:38:48"
"Medical Incident	 18:49:47	 18:53:15"
"Structure Fire	 23:52:02	 23:52:21"
"Medical Incident	 07:14:40	 07:20:49"
"Medical Incident	 10:18:16	 10:21:21"
"Alarms	 22:16:57	 22:19:15"
"Medical Incident	 17:56:24	 18:00:29"
"Medical Incident	 13:05:33	 13:07:02"
"Medical Incident	 20:09:34	 20:11:18"
"Structure Fire	 23:52:02	 23:52:21"
"Medical Incident	 06:21:46	 06:24:18"
"Medical Incident	 20:23:03	 20:23:44"
"Medical Incident	 18:32:04	 18:35:40"
"Medical Incident	 04:37:30	 04:40:22"
"Medical Incident	 00:49:37	 00:54:18"
"Medical Incident	 18:19:27	 18:21:42"
"Medical Incident	 16:30:08	 16:30:58"
