,call_type,received_timestamp,disptach_timestamp,dispatch_time
0,Medical Incident,0 days 17:36:16.000000000,0 days 17:39:41.000000000,0 days 00:03:25.000000000
1,Medical Incident,0 days 07:05:05.000000000,0 days 07:05:31.000000000,0 days 00:00:26.000000000
2,Medical Incident,0 days 02:04:21.000000000,0 days 02:06:04.000000000,0 days 00:01:43.000000000
3,Alarms,0 days 20:04:15.000000000,0 days 20:05:24.000000000,0 days 00:01:09.000000000
4,Alarms,0 days 20:03:08.000000000,0 days 20:05:57.000000000,0 days 00:02:49.000000000
5,Alarms,0 days 21:18:56.000000000,0 days 21:21:18.000000000,0 days 00:02:22.000000000
6,Structure Fire,0 days 12:24:27.000000000,0 days 12:26:56.000000000,0 days 00:02:29.000000000
7,Traffic Collision,0 days 19:51:29.000000000,0 days 19:53:41.000000000,0 days 00:02:12.000000000
8,Alarms,0 days 22:26:22.000000000,0 days 22:27:47.000000000,0 days 00:01:25.000000000
9,Medical Incident,0 days 10:35:00.000000000,0 days 10:37:06.000000000,0 days 00:02:06.000000000
10,Medical Incident,0 days 12:53:39.000000000,0 days 12:55:17.000000000,0 days 00:01:38.000000000
11,Medical Incident,0 days 14:36:16.000000000,0 days 14:45:58.000000000,0 days 00:09:42.000000000
12,Medical Incident,0 days 17:56:16.000000000,0 days 17:59:52.000000000,0 days 00:03:36.000000000
13,Medical Incident,0 days 16:48:13.000000000,0 days 16:51:46.000000000,0 days 00:03:33.000000000
14,Medical Incident,0 days 19:41:44.000000000,0 days 19:45:15.000000000,0 days 00:03:31.000000000
15,Structure Fire,0 days 00:19:30.000000000,0 days 00:35:09.000000000,0 days 00:15:39.000000000
16,Medical Incident,0 days 12:08:29.000000000,0 days 12:10:43.000000000,0 days 00:02:14.000000000
17,Medical Incident,0 days 14:54:21.000000000,0 days 15:01:11.000000000,0 days 00:06:50.000000000
18,Medical Incident,0 days 21:42:22.000000000,0 days 21:47:16.000000000,0 days 00:04:54.000000000
19,Structure Fire,0 days 12:24:27.000000000,0 days 12:25:47.000000000,0 days 00:01:20.000000000
20,Medical Incident,0 days 14:10:45.000000000,0 days 14:12:10.000000000,0 days 00:01:25.000000000
21,Medical Incident,0 days 10:40:14.000000000,0 days 10:41:22.000000000,0 days 00:01:08.000000000
22,Medical Incident,0 days 11:52:30.000000000,0 days 11:52:59.000000000,0 days 00:00:29.000000000
23,Medical Incident,0 days 14:51:27.000000000,0 days 15:01:45.000000000,0 days 00:10:18.000000000
24,Medical Incident,0 days 08:50:47.000000000,0 days 08:52:29.000000000,0 days 00:01:42.000000000
25,Medical Incident,0 days 15:31:54.000000000,0 days 15:33:39.000000000,0 days 00:01:45.000000000
26,Medical Incident,0 days 13:19:28.000000000,0 days 13:22:11.000000000,0 days 00:02:43.000000000
27,Other,0 days 19:07:16.000000000,0 days 21:45:14.000000000,0 days 02:37:58.000000000
28,Medical Incident,0 days 03:14:26.000000000,0 days 03:16:45.000000000,0 days 00:02:19.000000000
29,Medical Incident,0 days 11:59:40.000000000,0 days 12:01:55.000000000,0 days 00:02:15.000000000
30,Medical Incident,0 days 12:16:45.000000000,0 days 12:18:05.000000000,0 days 00:01:20.000000000
31,Medical Incident,0 days 11:55:50.000000000,0 days 11:58:28.000000000,0 days 00:02:38.000000000
32,Structure Fire,0 days 14:33:15.000000000,0 days 14:34:43.000000000,0 days 00:01:28.000000000
33,Medical Incident,0 days 13:02:34.000000000,0 days 13:04:14.000000000,0 days 00:01:40.000000000
34,Medical Incident,0 days 20:13:05.000000000,0 days 20:14:22.000000000,0 days 00:01:17.000000000
35,Medical Incident,0 days 03:20:30.000000000,0 days 03:21:38.000000000,0 days 00:01:08.000000000
36,Medical Incident,0 days 11:26:29.000000000,0 days 11:52:42.000000000,0 days 00:26:13.000000000
37,Medical Incident,0 days 16:17:08.000000000,0 days 16:18:08.000000000,0 days 00:01:00.000000000
38,Medical Incident,0 days 23:15:08.000000000,0 days 23:16:25.000000000,0 days 00:01:17.000000000
39,Medical Incident,0 days 13:34:18.000000000,0 days 13:36:24.000000000,0 days 00:02:06.000000000
40,Medical Incident,0 days 17:06:42.000000000,0 days 17:08:42.000000000,0 days 00:02:00.000000000
41,Medical Incident,0 days 16:56:59.000000000,0 days 16:57:39.000000000,0 days 00:00:40.000000000
42,Traffic Collision,0 days 19:31:36.000000000,0 days 19:32:11.000000000,0 days 00:00:35.000000000
43,Traffic Collision,0 days 15:14:20.000000000,0 days 15:20:17.000000000,0 days 00:05:57.000000000
44,Gas Leak (Natural and LP Gases),0 days 21:24:04.000000000,0 days 21:27:13.000000000,0 days 00:03:09.000000000
45,Alarms,0 days 04:19:20.000000000,0 days 04:22:02.000000000,0 days 00:02:42.000000000
46,Medical Incident,0 days 07:24:45.000000000,0 days 07:26:18.000000000,0 days 00:01:33.000000000
47,Medical Incident,0 days 10:25:47.000000000,0 days 10:28:31.000000000,0 days 00:02:44.000000000
48,Traffic Collision,0 days 14:36:10.000000000,0 days 14:38:48.000000000,0 days 00:02:38.000000000
49,Medical Incident,0 days 18:49:47.000000000,0 days 18:53:15.000000000,0 days 00:03:28.000000000
50,Structure Fire,0 days 23:52:02.000000000,0 days 23:52:21.000000000,0 days 00:00:19.000000000
51,Medical Incident,0 days 07:14:40.000000000,0 days 07:20:49.000000000,0 days 00:06:09.000000000
52,Medical Incident,0 days 10:18:16.000000000,0 days 10:21:21.000000000,0 days 00:03:05.000000000
53,Alarms,0 days 22:16:57.000000000,0 days 22:19:15.000000000,0 days 00:02:18.000000000
54,Medical Incident,0 days 17:56:24.000000000,0 days 18:00:29.000000000,0 days 00:04:05.000000000
55,Medical Incident,0 days 13:05:33.000000000,0 days 13:07:02.000000000,0 days 00:01:29.000000000
56,Medical Incident,0 days 20:09:34.000000000,0 days 20:11:18.000000000,0 days 00:01:44.000000000
57,Structure Fire,0 days 23:52:02.000000000,0 days 23:52:21.000000000,0 days 00:00:19.000000000
58,Medical Incident,0 days 06:21:46.000000000,0 days 06:24:18.000000000,0 days 00:02:32.000000000
59,Medical Incident,0 days 20:23:03.000000000,0 days 20:23:44.000000000,0 days 00:00:41.000000000
60,Medical Incident,0 days 18:32:04.000000000,0 days 18:35:40.000000000,0 days 00:03:36.000000000
61,Medical Incident,0 days 04:37:30.000000000,0 days 04:40:22.000000000,0 days 00:02:52.000000000
62,Medical Incident,0 days 00:49:37.000000000,0 days 00:54:18.000000000,0 days 00:04:41.000000000
63,Medical Incident,0 days 18:19:27.000000000,0 days 18:21:42.000000000,0 days 00:02:15.000000000
64,Medical Incident,0 days 16:30:08.000000000,0 days 16:30:58.000000000,0 days 00:00:50.000000000
65,Alarms,0 days 20:04:15.000000000,0 days 20:05:24.000000000,0 days 00:01:09.000000000
66,Medical Incident,0 days 19:30:32.000000000,0 days 19:35:32.000000000,0 days 00:05:00.000000000
67,Medical Incident,0 days 15:13:44.000000000,0 days 15:14:23.000000000,0 days 00:00:39.000000000
68,Medical Incident,0 days 14:12:47.000000000,0 days 14:14:07.000000000,0 days 00:01:20.000000000
69,Medical Incident,0 days 14:25:21.000000000,0 days 14:27:24.000000000,0 days 00:02:03.000000000
70,Medical Incident,0 days 11:54:29.000000000,0 days 11:57:55.000000000,0 days 00:03:26.000000000
71,Structure Fire,0 days 19:35:15.000000000,0 days 19:36:15.000000000,0 days 00:01:00.000000000
72,Medical Incident,0 days 17:30:01.000000000,0 days 17:32:06.000000000,0 days 00:02:05.000000000
73,Medical Incident,0 days 11:51:21.000000000,0 days 11:54:22.000000000,0 days 00:03:01.000000000
74,Structure Fire,0 days 14:33:15.000000000,0 days 15:30:33.000000000,0 days 00:57:18.000000000
75,Alarms,0 days 22:25:09.000000000,0 days 22:27:03.000000000,0 days 00:01:54.000000000
76,Medical Incident,0 days 18:00:17.000000000,0 days 18:13:30.000000000,0 days 00:13:13.000000000
77,Structure Fire,0 days 14:33:15.000000000,0 days 14:34:43.000000000,0 days 00:01:28.000000000
78,Medical Incident,0 days 08:35:12.000000000,0 days 08:35:59.000000000,0 days 00:00:47.000000000
79,Traffic Collision,0 days 13:10:51.000000000,0 days 13:11:40.000000000,0 days 00:00:49.000000000
80,Medical Incident,0 days 07:54:49.000000000,0 days 07:57:05.000000000,0 days 00:02:16.000000000
81,Medical Incident,0 days 21:38:41.000000000,0 days 21:41:41.000000000,0 days 00:03:00.000000000
82,Alarms,0 days 23:15:04.000000000,0 days 23:18:32.000000000,0 days 00:03:28.000000000
83,Alarms,0 days 20:03:08.000000000,0 days 20:05:57.000000000,0 days 00:02:49.000000000
84,Medical Incident,0 days 18:17:15.000000000,0 days 18:23:57.000000000,0 days 00:06:42.000000000
85,Medical Incident,0 days 03:03:33.000000000,0 days 03:04:48.000000000,0 days 00:01:15.000000000
86,Alarms,0 days 22:25:09.000000000,0 days 22:27:03.000000000,0 days 00:01:54.000000000
87,Medical Incident,0 days 22:25:39.000000000,0 days 22:26:08.000000000,0 days 00:00:29.000000000
88,Medical Incident,0 days 14:54:21.000000000,0 days 15:04:27.000000000,0 days 00:10:06.000000000
89,Medical Incident,0 days 03:27:39.000000000,0 days 03:31:55.000000000,0 days 00:04:16.000000000
90,Alarms,0 days 15:09:57.000000000,0 days 15:11:37.000000000,0 days 00:01:40.000000000
91,Medical Incident,0 days 12:31:04.000000000,0 days 12:33:50.000000000,0 days 00:02:46.000000000
92,Alarms,0 days 11:59:53.000000000,0 days 12:01:50.000000000,0 days 00:01:57.000000000
93,Medical Incident,0 days 08:45:53.000000000,0 days 08:47:38.000000000,0 days 00:01:45.000000000
94,Medical Incident,0 days 11:40:25.000000000,0 days 11:42:30.000000000,0 days 00:02:05.000000000
95,Medical Incident,0 days 13:02:34.000000000,0 days 13:06:06.000000000,0 days 00:03:32.000000000
96,Medical Incident,0 days 15:03:18.000000000,0 days 15:08:39.000000000,0 days 00:05:21.000000000
97,Medical Incident,0 days 04:31:17.000000000,0 days 04:33:33.000000000,0 days 00:02:16.000000000
98,Medical Incident,0 days 09:06:46.000000000,0 days 09:07:45.000000000,0 days 00:00:59.000000000
99,Structure Fire,0 days 07:48:24.000000000,0 days 07:52:04.000000000,0 days 00:03:40.000000000
100,Medical Incident,0 days 08:24:32.000000000,0 days 08:27:22.000000000,0 days 00:02:50.000000000
101,Medical Incident,0 days 18:36:03.000000000,0 days 18:40:26.000000000,0 days 00:04:23.000000000
102,Medical Incident,0 days 16:56:59.000000000,0 days 16:57:39.000000000,0 days 00:00:40.000000000
103,Structure Fire,0 days 19:35:15.000000000,0 days 19:36:15.000000000,0 days 00:01:00.000000000
104,Medical Incident,0 days 00:33:22.000000000,0 days 00:36:45.000000000,0 days 00:03:23.000000000
105,Alarms,0 days 23:43:00.000000000,0 days 23:47:13.000000000,0 days 00:04:13.000000000
106,Medical Incident,0 days 15:46:20.000000000,0 days 15:50:41.000000000,0 days 00:04:21.000000000
107,Structure Fire,0 days 23:52:02.000000000,0 days 23:52:21.000000000,0 days 00:00:19.000000000
108,Medical Incident,0 days 13:56:18.000000000,0 days 13:57:18.000000000,0 days 00:01:00.000000000
109,Medical Incident,0 days 11:28:31.000000000,0 days 11:30:46.000000000,0 days 00:02:15.000000000
110,Medical Incident,0 days 10:34:38.000000000,0 days 10:38:51.000000000,0 days 00:04:13.000000000
111,Medical Incident,0 days 10:53:28.000000000,0 days 10:56:39.000000000,0 days 00:03:11.000000000
112,Medical Incident,0 days 15:49:03.000000000,0 days 15:49:47.000000000,0 days 00:00:44.000000000
113,Medical Incident,0 days 16:25:57.000000000,0 days 16:27:54.000000000,0 days 00:01:57.000000000
114,Medical Incident,0 days 04:31:17.000000000,0 days 04:33:33.000000000,0 days 00:02:16.000000000
115,Medical Incident,0 days 19:03:28.000000000,0 days 19:07:56.000000000,0 days 00:04:28.000000000
116,Traffic Collision,0 days 17:49:12.000000000,0 days 17:51:54.000000000,0 days 00:02:42.000000000
117,Traffic Collision,0 days 19:50:01.000000000,0 days 19:51:05.000000000,0 days 00:01:04.000000000
118,Medical Incident,0 days 10:36:54.000000000,0 days 10:37:41.000000000,0 days 00:00:47.000000000
119,Alarms,0 days 23:15:04.000000000,0 days 23:18:32.000000000,0 days 00:03:28.000000000
120,Medical Incident,0 days 14:10:45.000000000,0 days 14:12:10.000000000,0 days 00:01:25.000000000
121,Medical Incident,0 days 08:24:32.000000000,0 days 08:27:22.000000000,0 days 00:02:50.000000000
122,Medical Incident,0 days 16:17:39.000000000,0 days 16:20:41.000000000,0 days 00:03:02.000000000
123,Outside Fire,0 days 01:52:58.000000000,0 days 02:00:31.000000000,0 days 00:07:33.000000000
124,Medical Incident,0 days 07:39:17.000000000,0 days 07:41:40.000000000,0 days 00:02:23.000000000
125,Alarms,0 days 04:55:36.000000000,0 days 04:56:46.000000000,0 days 00:01:10.000000000
126,Medical Incident,0 days 16:41:09.000000000,0 days 16:43:40.000000000,0 days 00:02:31.000000000
127,Medical Incident,0 days 09:29:29.000000000,0 days 09:34:30.000000000,0 days 00:05:01.000000000
128,Gas Leak (Natural and LP Gases),0 days 03:27:23.000000000,0 days 03:29:26.000000000,0 days 00:02:03.000000000
129,Gas Leak (Natural and LP Gases),0 days 03:27:23.000000000,0 days 03:34:52.000000000,0 days 00:07:29.000000000
130,Medical Incident,0 days 23:15:08.000000000,0 days 23:16:25.000000000,0 days 00:01:17.000000000
131,Medical Incident,0 days 20:37:18.000000000,0 days 20:39:02.000000000,0 days 00:01:44.000000000
132,Medical Incident,0 days 21:44:38.000000000,0 days 21:45:51.000000000,0 days 00:01:13.000000000
133,Medical Incident,0 days 21:46:59.000000000,0 days 21:50:42.000000000,0 days 00:03:43.000000000
134,Medical Incident,0 days 06:04:12.000000000,0 days 06:08:05.000000000,0 days 00:03:53.000000000
135,Medical Incident,0 days 11:17:17.000000000,0 days 11:19:43.000000000,0 days 00:02:26.000000000
136,Alarms,0 days 22:16:57.000000000,0 days 22:19:15.000000000,0 days 00:02:18.000000000
137,Medical Incident,0 days 07:05:05.000000000,0 days 07:16:21.000000000,0 days 00:11:16.000000000
138,Electrical Hazard,0 days 23:33:10.000000000,0 days 23:37:19.000000000,0 days 00:04:09.000000000
139,Vehicle Fire,0 days 06:26:09.000000000,0 days 06:27:43.000000000,0 days 00:01:34.000000000
140,Medical Incident,0 days 09:43:26.000000000,0 days 09:46:57.000000000,0 days 00:03:31.000000000
141,Medical Incident,0 days 21:46:59.000000000,0 days 21:50:42.000000000,0 days 00:03:43.000000000
142,Alarms,0 days 12:32:17.000000000,0 days 12:34:19.000000000,0 days 00:02:02.000000000
143,Medical Incident,0 days 10:06:06.000000000,0 days 10:07:50.000000000,0 days 00:01:44.000000000
144,Medical Incident,0 days 07:08:07.000000000,0 days 07:11:41.000000000,0 days 00:03:34.000000000
145,Medical Incident,0 days 07:24:45.000000000,0 days 07:26:18.000000000,0 days 00:01:33.000000000
146,Medical Incident,0 days 15:39:02.000000000,0 days 15:40:32.000000000,0 days 00:01:30.000000000
147,Alarms,0 days 17:01:25.000000000,0 days 17:02:51.000000000,0 days 00:01:26.000000000
148,Alarms,0 days 14:37:03.000000000,0 days 14:39:45.000000000,0 days 00:02:42.000000000
