,call_type,received_timestamp,disptach_timestamp,dispatch_time,coordinates
0,Medical Incident,0 days 17:36:16.000000000,0 days 17:39:41.000000000,0 days 00:03:25.000000000,37.77444199 -122.5046792
1,Medical Incident,0 days 07:05:05.000000000,0 days 07:05:31.000000000,0 days 00:00:26.000000000,37.77409486 -122.4200014
2,Medical Incident,0 days 02:04:21.000000000,0 days 02:06:04.000000000,0 days 00:01:43.000000000,37.75521795 -122.4755404
3,Alarms,0 days 20:04:15.000000000,0 days 20:05:24.000000000,0 days 00:01:09.000000000,37.7903193 -122.4231629
4,Alarms,0 days 20:03:08.000000000,0 days 20:05:57.000000000,0 days 00:02:49.000000000,37.77732776 -122.3930886
5,Alarms,0 days 21:18:56.000000000,0 days 21:21:18.000000000,0 days 00:02:22.000000000,37.75689017 -122.4222293
6,Structure Fire,0 days 12:24:27.000000000,0 days 12:26:56.000000000,0 days 00:02:29.000000000,37.783359 -122.4166949
7,Traffic Collision,0 days 19:51:29.000000000,0 days 19:53:41.000000000,0 days 00:02:12.000000000,37.76924401 -122.4080072
8,Alarms,0 days 22:26:22.000000000,0 days 22:27:47.000000000,0 days 00:01:25.000000000,37.80711992 -122.4164279
9,Medical Incident,0 days 10:35:00.000000000,0 days 10:37:06.000000000,0 days 00:02:06.000000000,37.71214951 -122.4171412
10,Medical Incident,0 days 12:53:39.000000000,0 days 12:55:17.000000000,0 days 00:01:38.000000000,37.77883232 -122.4156425
11,Medical Incident,0 days 14:36:16.000000000,0 days 14:45:58.000000000,0 days 00:09:42.000000000,37.79709205 -122.3983331
12,Medical Incident,0 days 17:56:16.000000000,0 days 17:59:52.000000000,0 days 00:03:36.000000000,37.7560964 -122.4277834
13,Medical Incident,0 days 16:48:13.000000000,0 days 16:51:46.000000000,0 days 00:03:33.000000000,37.78079208 -122.4083857
14,Medical Incident,0 days 19:41:44.000000000,0 days 19:45:15.000000000,0 days 00:03:31.000000000,37.75223946 -122.4184453
15,Structure Fire,0 days 00:19:30.000000000,0 days 00:35:09.000000000,0 days 00:15:39.000000000,37.78521736 -122.4170696
16,Medical Incident,0 days 12:08:29.000000000,0 days 12:10:43.000000000,0 days 00:02:14.000000000,37.77952317 -122.4126393
