call_type,latitude,longitude,zipcode_of_incident,,row_id
Medical Incident,37.77444199,-122.5046792,94121,,180243072-84
Medical Incident,37.77409486,-122.4200014,94103,,180240538-61
Medical Incident,37.75521795,-122.4755404,94122,,180240176-E22
Alarms,37.7903193,-122.4231629,94109,,180243588-E03
Alarms,37.77732776,-122.3930886,94107,,180243590-B03
Alarms,37.75689017,-122.4222293,94110,,180243782-E07
Structure Fire,37.783359,-122.4166949,94102,,180241852-E03
Traffic Collision,37.76924401,-122.4080072,94103,,180243546-66
Alarms,37.80711992,-122.4164279,94133,,180243952-E28
Medical Incident,37.71214951,-122.4171412,94134,,180241350-58
Medical Incident,37.77883232,-122.4156425,94102,,180241957-53
Medical Incident,37.79709205,-122.3983331,94111,,180242429-62
Medical Incident,37.7560964,-122.4277834,94114,,180243142-E11
Medical Incident,37.78079208,-122.4083857,94103,,180242903-KM06
Medical Incident,37.75223946,-122.4184453,94110,,180243517-85
Structure Fire,37.78521736,-122.4170696,94109,,180240052-RS1
Medical Incident,37.77952317,-122.4126393,94103,,180241776-E03
Medical Incident,37.74817255,-122.458695,94131,,180242487-E20
Medical Incident,37.77005466,-122.4461284,94117,,180243850-72
Structure Fire,37.783359,-122.4166949,94102,,180241852-T01
Medical Incident,37.77779031,-122.4128343,94103,,180242322-64
Medical Incident,37.78066916,-122.401678,94107,,180241372-E01
Medical Incident,37.77409268,-122.4410844,94117,,180241696-E21
Medical Incident,37.8028277,-122.4130343,94133,,180242478-E28
Medical Incident,37.78626844,-122.4129972,94102,,180240880-79
Medical Incident,37.77027309,-122.448605,94117,,180242627-52
Medical Incident,37.78191397,-122.4130322,94102,,180242103-52
Other,37.72229807,-122.4113031,94134,,180243393-71
Medical Incident,37.75962769,-122.415923,94110,,180240248-94
Medical Incident,37.78186545,-122.4142853,94102,,180241729-E36
Medical Incident,37.77938258,-122.4184844,94102,,180241805-64
Medical Incident,37.79154569,-122.4200366,94109,,180241714-E41
Structure Fire,37.77025923,-122.4318323,94117,,180242412-E21
Medical Incident,37.77319006,-122.418237,94103,,180242018-81
Medical Incident,37.72094713,-122.4531654,94112,,180243610-72
Medical Incident,37.78497774,-122.4596976,94118,,180240250-87
Medical Incident,37.78894504,-122.4262523,94109,,180241582-74
Medical Incident,37.74226138,-122.4219647,94110,,180242769-58
Medical Incident,37.78574399,-122.405831,94103,,180244069-E01
Medical Incident,37.78326039,-122.4183662,94109,,180242165-91
Medical Incident,37.76759524,-122.4311911,94114,,180242960-73
Medical Incident,37.79695516,-122.3989082,94111,,180242924-AM116
Traffic Collision,37.75414577,-122.4786157,94122,,180243473-E40
Traffic Collision,37.77578731,-122.3933551,94158,,180242571-E08
Gas Leak (Natural and LP Gases),37.77684957,-122.4213512,94102,,180243798-E28
Alarms,37.78299265,-122.3905285,94107,,180240313-E35
Medical Incident,37.76272932,-122.4229584,94110,,180240606-E07
Medical Incident,37.78176091,-122.4151051,94102,,180241313-79
Traffic Collision,37.76495166,-122.4319376,94114,,180242427-RS2
Medical Incident,37.7854812,-122.4212035,94109,,180243329-91
Medical Incident,37.78356778,-122.4192734,94109,,180244157-95
Structure Fire,37.79860278,-122.4231486,94109,,180244146-E28
Medical Incident,37.76495166,-122.4319376,94114,,180240577-52
Medical Incident,37.75730761,-122.4066198,94110,,180241278-AM110
Alarms,37.75436288,-122.4232161,94110,,180243931-T11
Medical Incident,37.79196281,-122.393243,94105,,180243148-E35
Medical Incident,37.79057826,-122.4206874,94109,,180242033-AM106
Medical Incident,37.77762424,-122.3999811,94107,,180243606-E01
Structure Fire,37.79860278,-122.4231486,94109,,180244146-T03
Medical Incident,37.75210237,-122.440665,94114,,180240433-E24
Medical Incident,37.78284503,-122.4132218,94102,,180243637-61
Medical Incident,37.78491618,-122.41195,94102,,180243275-95
Medical Incident,37.78233759,-122.4138914,94102,,180240328-KM07
Medical Incident,37.78086621,-122.4288032,94115,,180240074-E38
Medical Incident,37.77305345,-122.4186182,94103,,180243226-E36
Medical Incident,37.78305497,-122.4115773,94102,,180242820-E03
Alarms,37.7903193,-122.4231629,94109,,180243588-B01
Medical Incident,37.76437321,-122.4174785,94110,,180243478-73
Medical Incident,37.78738198,-122.396478,94105,,180242555-E35
Medical Incident,37.78808219,-122.4100569,94102,,180242328-83
Medical Incident,37.78775662,-122.4130557,94109,,180242385-E03
Medical Incident,37.79452665,-122.411364,94108,,180241710-79
Structure Fire,37.77428384,-122.4670881,94118,,180243491-B05
