call_type,call_date,zipcode
Medical Incident,1/24/2018,94121
Medical Incident,1/24/2018,94103
Medical Incident,1/24/2018,94122
Alarms,1/24/2018,94109
Alarms,1/24/2018,94107
Alarms,1/24/2018,94110
Structure Fire,1/24/2018,94102
Traffic Collision,1/24/2018,94103
Alarms,1/24/2018,94133
Medical Incident,1/24/2018,94134
Medical Incident,1/24/2018,94102
Medical Incident,1/24/2018,94111
Medical Incident,1/24/2018,94114
Medical Incident,1/24/2018,94103
Medical Incident,1/24/2018,94110
Structure Fire,1/24/2018,94109
Medical Incident,1/24/2018,94103
Medical Incident,1/24/2018,94131
Medical Incident,1/24/2018,94117
Structure Fire,1/24/2018,94102
Medical Incident,1/24/2018,94103
Medical Incident,1/24/2018,94107
Medical Incident,1/24/2018,94117
Medical Incident,1/24/2018,94133
Medical Incident,1/24/2018,94102
Medical Incident,1/24/2018,94117
Medical Incident,1/24/2018,94102
Other,1/24/2018,94134
Medical Incident,1/24/2018,94110
Medical Incident,1/24/2018,94102
Medical Incident,1/24/2018,94102
Medical Incident,1/24/2018,94109
Structure Fire,1/24/2018,94117
Medical Incident,1/24/2018,94103
Medical Incident,1/24/2018,94112
Medical Incident,1/24/2018,94118
Medical Incident,1/24/2018,94109
Medical Incident,1/24/2018,94110
Medical Incident,1/24/2018,94103
Medical Incident,1/24/2018,94109
Medical Incident,1/24/2018,94114
Medical Incident,1/24/2018,94111
Traffic Collision,1/24/2018,94122
Traffic Collision,1/24/2018,94158
Gas Leak (Natural and LP Gases),1/24/2018,94102
Alarms,1/24/2018,94107
Medical Incident,1/24/2018,94110
Medical Incident,1/24/2018,94102
Traffic Collision,1/24/2018,94114
Medical Incident,1/24/2018,94109
Medical Incident,1/24/2018,94109
Structure Fire,1/24/2018,94109
Medical Incident,1/24/2018,94114
Medical Incident,1/24/2018,94110
Alarms,1/24/2018,94110
Medical Incident,1/24/2018,94105
Medical Incident,1/24/2018,94109
Medical Incident,1/24/2018,94107
Structure Fire,1/24/2018,94109
Medical Incident,1/24/2018,94114
Medical Incident,1/24/2018,94102
Medical Incident,1/24/2018,94102
Medical Incident,1/24/2018,94102
Medical Incident,1/24/2018,94115
Medical Incident,1/24/2018,94103
Medical Incident,1/24/2018,94102
Alarms,1/24/2018,94109
Medical Incident,1/24/2018,94110
Medical Incident,1/24/2018,94105
Medical Incident,1/24/2018,94102
Medical Incident,1/24/2018,94109
Medical Incident,1/24/2018,94108
Structure Fire,1/24/2018,94118
Medical Incident,1/24/2018,94158
Medical Incident,1/24/2018,94102
Structure Fire,1/24/2018,94117
Alarms,1/24/2018,94131
Medical Incident,1/24/2018,94117
Structure Fire,1/24/2018,94117
Medical Incident,1/24/2018,94102
Traffic Collision,1/24/2018,94112
Medical Incident,1/24/2018,94124
Medical Incident,1/24/2018,94107
Alarms,1/24/2018,94103
Alarms,1/24/2018,94107
Medical Incident,1/24/2018,94103
Medical Incident,1/24/2018,94118
Alarms,1/24/2018,94131
Medical Incident,1/24/2018,94118
Medical Incident,1/24/2018,94131
Medical Incident,1/24/2018,94102
Alarms,1/24/2018,94102
Medical Incident,1/24/2018,94133
Alarms,1/24/2018,94103
Medical Incident,1/24/2018,94117
