,call_type,latitude,longitude
0,Medical Incident,37.77444199,-122.50467920000001
1,Medical Incident,37.77409486,-122.42000139999999
2,Medical Incident,37.75521795,-122.47554040000001
9,Medical Incident,37.71214951,-122.4171412
10,Medical Incident,37.77883232,-122.4156425
11,Medical Incident,37.79709205,-122.3983331
12,Medical Incident,37.7560964,-122.42778340000001
13,Medical Incident,37.78079208,-122.40838570000001
14,Medical Incident,37.75223946,-122.4184453
16,Medical Incident,37.77952317,-122.4126393
17,Medical Incident,37.74817255,-122.45869499999999
18,Medical Incident,37.77005466,-122.44612839999999
20,Medical Incident,37.77779031,-122.41283429999999
21,Medical Incident,37.78066916,-122.401678
22,Medical Incident,37.77409268,-122.44108440000001
23,Medical Incident,37.8028277,-122.41303429999999
24,Medical Incident,37.78626844,-122.4129972
25,Medical Incident,37.77027309,-122.448605
26,Medical Incident,37.78191397,-122.41303219999999
28,Medical Incident,37.75962769,-122.41592299999999
29,Medical Incident,37.78186545,-122.41428529999999
30,Medical Incident,37.77938258,-122.41848440000001
31,Medical Incident,37.79154569,-122.42003659999999
33,Medical Incident,37.77319006,-122.418237
34,Medical Incident,37.72094713,-122.4531654
35,Medical Incident,37.78497774,-122.4596976
36,Medical Incident,37.78894504,-122.4262523
37,Medical Incident,37.74226138,-122.42196470000002
38,Medical Incident,37.78574399,-122.405831
39,Medical Incident,37.78326039,-122.4183662
40,Medical Incident,37.76759524,-122.43119109999998
41,Medical Incident,37.79695516,-122.3989082
46,Medical Incident,37.76272932,-122.4229584
49,Medical Incident,37.78548120000001,-122.42120349999999
50,Medical Incident,37.78356778,-122.41927340000002
52,Medical Incident,37.76495166,-122.4319376
53,Medical Incident,37.75730761,-122.40661979999999
55,Medical Incident,37.79196281,-122.393243
56,Medical Incident,37.79057826,-122.4206874
57,Medical Incident,37.77762424,-122.3999811
59,Medical Incident,37.75210237,-122.440665
60,Medical Incident,37.78284503,-122.41322179999999
61,Medical Incident,37.78491618,-122.41195
62,Medical Incident,37.78233759,-122.41389140000001
63,Medical Incident,37.78086621,-122.42880320000002
64,Medical Incident,37.77305345,-122.4186182
65,Medical Incident,37.78305497,-122.4115773
67,Medical Incident,37.76437321,-122.41747849999999
68,Medical Incident,37.78738198,-122.396478
69,Medical Incident,37.78808219,-122.41005690000001
70,Medical Incident,37.78775662,-122.4130557
71,Medical Incident,37.79452665,-122.41136399999999
73,Medical Incident,37.76799245,-122.3943915
74,Medical Incident,37.78144749,-122.4171456
77,Medical Incident,37.77842248,-122.43340729999998
79,Medical Incident,37.7815854,-122.4230902
81,Medical Incident,37.73311384,-122.3944192
82,Medical Incident,37.78299265,-122.39052849999999
85,Medical Incident,37.78013037,-122.40987140000001
86,Medical Incident,37.78530744,-122.47424509999999
88,Medical Incident,37.78301939999999,-122.46389180000001
89,Medical Incident,37.74817255,-122.45869499999999
90,Medical Incident,37.78176159,-122.4110582
92,Medical Incident,37.80546355,-122.4144122
94,Medical Incident,37.77409268,-122.44108440000001
95,Medical Incident,37.77814783,-122.4862064
96,Medical Incident,37.77319006,-122.418237
97,Medical Incident,37.78160513,-122.41633629999998
98,Medical Incident,37.7894925,-122.39015090000001
99,Medical Incident,37.77782816,-122.42492469999999
101,Medical Incident,37.74521892,-122.41748390000002
102,Medical Incident,37.77762424,-122.3999811
103,Medical Incident,37.79695516,-122.3989082
105,Medical Incident,37.76972086,-122.41794920000001
107,Medical Incident,37.78434554,-122.4077851
109,Medical Incident,37.78066210000001,-122.42289790000001
110,Medical Incident,37.78611721,-122.41985420000002
111,Medical Incident,37.75762172,-122.4188873
112,Medical Incident,37.77419657,-122.5100338
113,Medical Incident,37.78429938,-122.41014129999999
114,Medical Incident,37.78708179,-122.4258678
115,Medical Incident,37.7894925,-122.39015090000001
116,Medical Incident,37.78611721,-122.41985420000002
119,Medical Incident,37.78153451,-122.4281353
121,Medical Incident,37.77779031,-122.41283429999999
122,Medical Incident,37.74521892,-122.41748390000002
123,Medical Incident,37.78373004,-122.4137537
125,Medical Incident,37.76429934,-122.4185514
127,Medical Incident,37.775763700000006,-122.47575049999999
128,Medical Incident,37.79494605,-122.42915590000001
131,Medical Incident,37.78574399,-122.405831
132,Medical Incident,37.73295563,-122.38759080000001
133,Medical Incident,37.75219765,-122.3974777
134,Medical Incident,37.78300757,-122.4458585
135,Medical Incident,37.77487017,-122.39441709999998
136,Medical Incident,37.78600483,-122.39507730000001
138,Medical Incident,37.77409486,-122.42000139999999
141,Medical Incident,37.72930177,-122.39087679999999
142,Medical Incident,37.78300757,-122.4458585
144,Medical Incident,37.75828227,-122.49079820000001
145,Medical Incident,37.70911386,-122.4318301
146,Medical Incident,37.76272932,-122.4229584
147,Medical Incident,37.75584156,-122.40177990000001
150,Medical Incident,37.7330297,-122.4342263
151,Medical Incident,37.7233591,-122.40190249999999
154,Medical Incident,37.78383852,-122.41377549999999
155,Medical Incident,37.78775592,-122.4009754
156,Medical Incident,37.79920486,-122.44013249999999
158,Medical Incident,37.78013037,-122.40987140000001
159,Medical Incident,37.73654494,-122.4223236
160,Medical Incident,37.79916843,-122.41742830000001
161,Medical Incident,37.74089198,-122.465829
162,Medical Incident,37.76429934,-122.4185514
163,Medical Incident,37.75995363,-122.43718359999998
164,Medical Incident,37.78071918,-122.4153156
166,Medical Incident,37.78434554,-122.4077851
167,Medical Incident,37.780001,-122.4416585
168,Medical Incident,37.78566436,-122.4597544
170,Medical Incident,37.72581695,-122.40291699999999
172,Medical Incident,37.76437321,-122.41747849999999
173,Medical Incident,37.77883232,-122.4156425
175,Medical Incident,37.78191397,-122.41303219999999
179,Medical Incident,37.70885361,-122.4051095
181,Medical Incident,37.7444275,-122.40869029999999
182,Medical Incident,37.78775662,-122.4130557
183,Medical Incident,37.77555816,-122.41865859999999
184,Medical Incident,37.78611721,-122.41985420000002
187,Medical Incident,37.77555816,-122.41865859999999
195,Medical Incident,37.75464094,-122.41860179999999
197,Medical Incident,37.77404134,-122.42318799999998
200,Medical Incident,37.76423612,-122.4196598
201,Medical Incident,37.78326039,-122.4183662
204,Medical Incident,37.77782548,-122.47150320000001
206,Medical Incident,37.77953108,-122.4135425
207,Medical Incident,37.72581695,-122.40291699999999
209,Medical Incident,37.78594197,-122.40801270000001
210,Medical Incident,37.78186545,-122.41428529999999
211,Medical Incident,37.7935386,-122.39288909999998
212,Medical Incident,37.78147394,-122.42068959999999
214,Medical Incident,37.77986128,-122.38959070000001
215,Medical Incident,37.78895561,-122.41782579999999
216,Medical Incident,37.78086621,-122.42880320000002
217,Medical Incident,37.7702426,-122.4296382
218,Medical Incident,37.775763700000006,-122.47575049999999
219,Medical Incident,37.79695516,-122.3989082
220,Medical Incident,37.76213763,-122.4362418
222,Medical Incident,37.78186545,-122.41428529999999
223,Medical Incident,37.75730761,-122.40661979999999
224,Medical Incident,37.78003795,-122.48580759999999
225,Medical Incident,37.78511111,-122.414592
227,Medical Incident,37.76907575,-122.4207886
228,Medical Incident,37.76310298,-122.46631470000001
229,Medical Incident,37.78186545,-122.41428529999999
231,Medical Incident,37.78097118,-122.4087087
235,Medical Incident,37.77844605,-122.49959140000001
236,Medical Incident,37.775763700000006,-122.47575049999999
237,Medical Incident,37.75995363,-122.43718359999998
238,Medical Incident,37.75300403,-122.4063362
239,Medical Incident,37.783052000000005,-122.42001029999999
240,Medical Incident,37.78150637,-122.40793290000002
241,Medical Incident,37.77966604,-122.4137112
242,Medical Incident,37.74957409,-122.476228
243,Medical Incident,37.79452665,-122.41136399999999
245,Medical Incident,37.75995363,-122.43718359999998
246,Medical Incident,37.7885473,-122.4143744
247,Medical Incident,37.78316343,-122.4115993
248,Medical Incident,37.77650804,-122.4144578
249,Medical Incident,37.732322100000005,-122.37838500000001
250,Medical Incident,37.77527143,-122.46601869999999
251,Medical Incident,37.77592613,-122.4245791
253,Medical Incident,37.77592613,-122.4245791
254,Medical Incident,37.77091334,-122.420305
255,Medical Incident,37.775763700000006,-122.47575049999999
258,Medical Incident,37.7773216,-122.44911599999999
259,Medical Incident,37.74702849,-122.4315135
264,Medical Incident,37.76429934,-122.4185514
269,Medical Incident,37.78191397,-122.41303219999999
271,Medical Incident,37.79494605,-122.42915590000001
272,Medical Incident,37.76967964,-122.449942
273,Medical Incident,37.79073739,-122.4198727
274,Medical Incident,37.78111921,-122.41259699999999
276,Medical Incident,37.78066210000001,-122.42289790000001
278,Medical Incident,37.73371403,-122.3805885
279,Medical Incident,37.76213763,-122.4362418
280,Medical Incident,37.78373004,-122.4137537
282,Medical Incident,37.7712162,-122.4378883
283,Medical Incident,37.80646891,-122.41922450000001
284,Medical Incident,37.7124692,-122.41479029999999
285,Medical Incident,37.7815854,-122.4230902
287,Medical Incident,37.78191397,-122.41303219999999
288,Medical Incident,37.78186545,-122.41428529999999
290,Medical Incident,37.77262672,-122.41998729999999
291,Medical Incident,37.78796309,-122.40349180000001
294,Medical Incident,37.72930177,-122.39087679999999
296,Medical Incident,37.73216722,-122.4212838
297,Medical Incident,37.78729821,-122.39448130000001
299,Medical Incident,37.78566436,-122.4597544
302,Medical Incident,37.78530744,-122.47424509999999
303,Medical Incident,37.77762424,-122.3999811
304,Medical Incident,37.76403274,-122.50940220000001
305,Medical Incident,37.77966604,-122.4137112
306,Medical Incident,37.75683373,-122.406699
307,Medical Incident,37.73117466,-122.3816081
308,Medical Incident,37.7869902,-122.41068390000001
310,Medical Incident,37.78047851,-122.41251229999999
311,Medical Incident,37.75730761,-122.40661979999999
312,Medical Incident,37.78383852,-122.41377549999999
314,Medical Incident,37.78578701,-122.41254779999998
315,Medical Incident,37.73111444,-122.3801049
316,Medical Incident,37.78153743,-122.4095183
317,Medical Incident,37.77097894,-122.40281599999999
318,Medical Incident,37.7985219,-122.4163842
320,Medical Incident,37.78401768,-122.4312381
321,Medical Incident,37.74953353,-122.4771494
322,Medical Incident,37.78186545,-122.41428529999999
323,Medical Incident,37.7731448,-122.39147290000001
324,Medical Incident,37.75223946,-122.4184453
325,Medical Incident,37.74817255,-122.45869499999999
326,Medical Incident,37.77262672,-122.41998729999999
327,Medical Incident,37.78258503,-122.41569390000001
328,Medical Incident,37.78401768,-122.4312381
329,Medical Incident,37.73654494,-122.4223236
331,Medical Incident,37.77824109,-122.4111848
332,Medical Incident,37.73672968,-122.4248504
334,Medical Incident,37.79323049,-122.39318130000001
335,Medical Incident,37.76924706,-122.42695559999999
336,Medical Incident,37.80193064,-122.4125413
337,Medical Incident,37.797515000000004,-122.44715829999998
340,Medical Incident,37.78566436,-122.4597544
342,Medical Incident,37.76423612,-122.4196598
343,Medical Incident,37.73520174,-122.4341983
344,Medical Incident,37.78611721,-122.41985420000002
345,Medical Incident,37.79196281,-122.393243
346,Medical Incident,37.78354278,-122.4925102
347,Medical Incident,37.78144749,-122.4171456
349,Medical Incident,37.76419571,-122.43307450000002
352,Medical Incident,37.79053181,-122.4039142
353,Medical Incident,37.72094516,-122.4782782
354,Medical Incident,37.79020396,-122.4163929
355,Medical Incident,37.78160513,-122.41633629999998
356,Medical Incident,37.77883232,-122.4156425
357,Medical Incident,37.76491738,-122.4218864
358,Medical Incident,37.75257276,-122.41299520000001
359,Medical Incident,37.79282365,-122.3970342
361,Medical Incident,37.78594197,-122.40801270000001
362,Medical Incident,37.77604635,-122.41128880000001
363,Medical Incident,37.78332633,-122.44032490000001
367,Medical Incident,37.75117143,-122.3973798
368,Medical Incident,37.71901187,-122.48045069999999
369,Medical Incident,37.78071918,-122.4153156
370,Medical Incident,37.78003795,-122.48580759999999
371,Medical Incident,37.75196034,-122.43637690000001
372,Medical Incident,37.78610104,-122.4180881
373,Medical Incident,37.78780723,-122.41927959999998
375,Medical Incident,37.78086621,-122.42880320000002
376,Medical Incident,37.76033176,-122.5092121
378,Medical Incident,37.76173673,-122.49734950000001
383,Medical Incident,37.78241705,-122.4208105
384,Medical Incident,37.78176091,-122.41510509999999
386,Medical Incident,37.78578701,-122.41254779999998
387,Medical Incident,37.73782181,-122.4323983
388,Medical Incident,37.72848944,-122.42999540000001
