Column1,Unnamed0,call_type,received_timestamp,disptach_timestamp,dispatch_time,latitude,longitude,TransactionId,ComputedAPN,StreetAddress,ComputedCity,ComputedState,ComputedZip
6,6,Structure Fire,0 days 12:24:27.000000000,0 days 12:26:56.000000000,0 days 00:02:29.000000000,37.783359,-122.4166949,,336015,555 Eddy St,San Francisco,CA,94102
15,15,Structure Fire,0 days 00:19:30.000000000,0 days 00:35:09.000000000,0 days 00:15:39.000000000,37.78521736,-122.4170696,,,San Francisco,San Francisco,CA,94109
19,19,Structure Fire,0 days 12:24:27.000000000,0 days 12:25:47.000000000,0 days 00:01:20.000000000,37.783359,-122.4166949,,,San Francisco,San Francisco,CA,94102
32,32,Structure Fire,0 days 14:33:15.000000000,0 days 14:34:43.000000000,0 days 00:01:28.000000000,37.77025923,-122.4318323,,,San Francisco,San Francisco,CA,94117
50,50,Structure Fire,0 days 23:52:02.000000000,0 days 23:52:21.000000000,0 days 00:00:19.000000000,37.78356778,-122.4192734,,,San Francisco,San Francisco,CA,94109
57,57,Structure Fire,0 days 23:52:02.000000000,0 days 23:52:21.000000000,0 days 00:00:19.000000000,37.77762424,-122.3999811,,3777047,695 Bryant St,San Francisco,CA,94107
71,71,Structure Fire,0 days 19:35:15.000000000,0 days 19:36:15.000000000,0 days 00:01:00.000000000,37.79452665,-122.411364,,191016,1204 Mason St,San Francisco,CA,94108
74,74,Structure Fire,0 days 14:33:15.000000000,0 days 15:30:33.000000000,0 days 00:57:18.000000000,37.78144749,-122.4171456,,346006,366 Golden Gate Ave,San Francisco,CA,94102
77,77,Structure Fire,0 days 14:33:15.000000000,0 days 14:34:43.000000000,0 days 00:01:28.000000000,37.77842248,-122.4334073,,779020,950 Steiner St,San Francisco,CA,94117
99,99,Structure Fire,0 days 07:48:24.000000000,0 days 07:52:04.000000000,0 days 00:03:40.000000000,37.77782816,-122.4249247,,794026,500 Grove St,San Francisco,CA,94102
103,103,Structure Fire,0 days 19:35:15.000000000,0 days 19:36:15.000000000,0 days 00:01:00.000000000,37.79695516,-122.3989082,,199022,200 Washington St,San Francisco,CA,94111
107,107,Structure Fire,0 days 23:52:02.000000000,0 days 23:52:21.000000000,0 days 00:00:19.000000000,37.78434554,-122.4077851,,341014,902 Market St,San Francisco,CA,94102
151,151,Structure Fire,0 days 23:52:02.000000000,0 days 23:52:21.000000000,0 days 00:00:19.000000000,37.7233591,-122.4019025,,6122006,3054 San Bruno Ave,San Francisco,CA,94134
170,170,Structure Fire,0 days 13:13:37.000000000,0 days 13:13:46.000000000,0 days 00:00:09.000000000,37.72581695,-122.402917,,6049006,2848 San Bruno Ave,San Francisco,CA,94134
173,173,Structure Fire,0 days 08:27:11.000000000,0 days 08:28:01.000000000,0 days 00:00:50.000000000,37.77883232,-122.4156425,,354001,100 Larkin St,San Francisco,CA,94102
176,176,Structure Fire,0 days 21:35:26.000000000,0 days 21:36:47.000000000,0 days 00:01:21.000000000,37.72378785,-122.4364493,,3207009,46 Ocean Ave,San Francisco,CA,94112
