,call_type,received_timestamp
0,Medical Incident,1/24/2018
1,Medical Incident,1/24/2018
2,Medical Incident,1/24/2018
3,Alarms,1/24/2018
4,Alarms,1/24/2018
5,Alarms,1/24/2018
6,Structure Fire,1/24/2018
7,Traffic Collision,1/24/2018
8,Alarms,1/24/2018
9,Medical Incident,1/24/2018
10,Medical Incident,1/24/2018
11,Medical Incident,1/24/2018
12,Medical Incident,1/24/2018
13,Medical Incident,1/24/2018
14,Medical Incident,1/24/2018
15,Structure Fire,1/24/2018
16,Medical Incident,1/24/2018
17,Medical Incident,1/24/2018
18,Medical Incident,1/24/2018
19,Structure Fire,1/24/2018
20,Medical Incident,1/24/2018
21,Medical Incident,1/24/2018
22,Medical Incident,1/24/2018
23,Medical Incident,1/24/2018
24,Medical Incident,1/24/2018
25,Medical Incident,1/24/2018
26,Medical Incident,1/24/2018
27,Other,1/24/2018
28,Medical Incident,1/24/2018
29,Medical Incident,1/24/2018
30,Medical Incident,1/24/2018
31,Medical Incident,1/24/2018
32,Structure Fire,1/24/2018
33,Medical Incident,1/24/2018
34,Medical Incident,1/24/2018
35,Medical Incident,1/24/2018
36,Medical Incident,1/24/2018
37,Medical Incident,1/24/2018
38,Medical Incident,1/24/2018
39,Medical Incident,1/24/2018
40,Medical Incident,1/24/2018
41,Medical Incident,1/24/2018
42,Traffic Collision,1/24/2018
43,Traffic Collision,1/24/2018
44,Gas Leak (Natural and LP Gases),1/24/2018
45,Alarms,1/24/2018
46,Medical Incident,1/24/2018
47,Medical Incident,1/24/2018
48,Traffic Collision,1/24/2018
49,Medical Incident,1/24/2018
50,Medical Incident,1/24/2018
51,Structure Fire,1/24/2018
52,Medical Incident,1/24/2018
53,Medical Incident,1/24/2018
54,Alarms,1/24/2018
55,Medical Incident,1/24/2018
56,Medical Incident,1/24/2018
57,Medical Incident,1/24/2018
58,Structure Fire,1/24/2018
59,Medical Incident,1/24/2018
60,Medical Incident,1/24/2018
61,Medical Incident,1/24/2018
62,Medical Incident,1/24/2018
63,Medical Incident,1/24/2018
64,Medical Incident,1/24/2018
65,Medical Incident,1/24/2018
66,Alarms,1/24/2018
67,Medical Incident,1/24/2018
68,Medical Incident,1/24/2018
69,Medical Incident,1/24/2018
70,Medical Incident,1/24/2018
71,Medical Incident,1/24/2018
72,Structure Fire,1/24/2018
73,Medical Incident,1/24/2018
74,Medical Incident,1/24/2018
75,Structure Fire,1/24/2018
76,Alarms,1/24/2018
77,Medical Incident,1/24/2018
78,Structure Fire,1/24/2018
79,Medical Incident,1/24/2018
80,Traffic Collision,1/24/2018
81,Medical Incident,1/24/2018
82,Medical Incident,1/24/2018
83,Alarms,1/24/2018
84,Alarms,1/24/2018
85,Medical Incident,1/24/2018
86,Medical Incident,1/24/2018
87,Alarms,1/24/2018
88,Medical Incident,1/24/2018
89,Medical Incident,1/24/2018
90,Medical Incident,1/24/2018
91,Alarms,1/24/2018
92,Medical Incident,1/24/2018
93,Alarms,1/24/2018
94,Medical Incident,1/24/2018
95,Medical Incident,1/24/2018
96,Medical Incident,1/24/2018
97,Medical Incident,1/24/2018
98,Medical Incident,1/24/2018
99,Medical Incident,1/24/2018
100,Structure Fire,1/24/2018
101,Medical Incident,1/24/2018
102,Medical Incident,1/24/2018
103,Medical Incident,1/24/2018
104,Structure Fire,1/24/2018
105,Medical Incident,1/24/2018
106,Alarms,1/24/2018
107,Medical Incident,1/24/2018
108,Structure Fire,1/24/2018
109,Medical Incident,1/24/2018
110,Medical Incident,1/24/2018
111,Medical Incident,1/24/2018
112,Medical Incident,1/24/2018
113,Medical Incident,1/24/2018
114,Medical Incident,1/24/2018
115,Medical Incident,1/24/2018
116,Medical Incident,1/24/2018
117,Traffic Collision,1/24/2018
118,Traffic Collision,1/24/2018
119,Medical Incident,1/24/2018
120,Alarms,1/24/2018
