,call_type,received_timestamp,row_id,zipcode_of_incident
0,Medical Incident,2018-01-24 17:36:16.000000 UTC,180243072-84,94121
1,Medical Incident,2018-01-24 07:05:05.000000 UTC,180240538-61,94103
2,Medical Incident,2018-01-24 02:04:21.000000 UTC,180240176-E22,94122
3,Alarms,2018-01-24 20:04:15.000000 UTC,180243588-E03,94109
4,Alarms,2018-01-24 20:03:08.000000 UTC,180243590-B03,94107
5,Alarms,2018-01-24 21:18:56.000000 UTC,180243782-E07,94110
6,Structure Fire,2018-01-24 12:24:27.000000 UTC,180241852-E03,94102
7,Traffic Collision,2018-01-24 19:51:29.000000 UTC,180243546-66,94103
8,Alarms,2018-01-24 22:26:22.000000 UTC,180243952-E28,94133
9,Medical Incident,2018-01-24 10:35:00.000000 UTC,180241350-58,94134
10,Medical Incident,2018-01-24 12:53:39.000000 UTC,180241957-53,94102
11,Medical Incident,2018-01-24 14:36:16.000000 UTC,180242429-62,94111
12,Medical Incident,2018-01-24 17:56:16.000000 UTC,180243142-E11,94114
13,Medical Incident,2018-01-24 16:48:13.000000 UTC,180242903-KM06,94103
14,Medical Incident,2018-01-24 19:41:44.000000 UTC,180243517-85,94110
15,Structure Fire,2018-01-24 00:19:30.000000 UTC,180240052-RS1,94109
16,Medical Incident,2018-01-24 12:08:29.000000 UTC,180241776-E03,94103
17,Medical Incident,2018-01-24 14:54:21.000000 UTC,180242487-E20,94131
18,Medical Incident,2018-01-24 21:42:22.000000 UTC,180243850-72,94117
19,Structure Fire,2018-01-24 12:24:27.000000 UTC,180241852-T01,94102
20,Medical Incident,2018-01-24 14:10:45.000000 UTC,180242322-64,94103
21,Medical Incident,2018-01-24 10:40:14.000000 UTC,180241372-E01,94107
22,Medical Incident,2018-01-24 11:52:30.000000 UTC,180241696-E21,94117
23,Medical Incident,2018-01-24 14:51:27.000000 UTC,180242478-E28,94133
24,Medical Incident,2018-01-24 08:50:47.000000 UTC,180240880-79,94102
25,Medical Incident,2018-01-24 15:31:54.000000 UTC,180242627-52,94117
26,Medical Incident,2018-01-24 13:19:28.000000 UTC,180242103-52,94102
27,Other,2018-01-24 19:07:16.000000 UTC,180243393-71,94134
28,Medical Incident,2018-01-24 03:14:26.000000 UTC,180240248-94,94110
29,Medical Incident,2018-01-24 11:59:40.000000 UTC,180241729-E36,94102
30,Medical Incident,2018-01-24 12:16:45.000000 UTC,180241805-64,94102
31,Medical Incident,2018-01-24 11:55:50.000000 UTC,180241714-E41,94109
32,Structure Fire,2018-01-24 14:33:15.000000 UTC,180242412-E21,94117
33,Medical Incident,2018-01-24 13:02:34.000000 UTC,180242018-81,94103
34,Medical Incident,2018-01-24 20:13:05.000000 UTC,180243610-72,94112
35,Medical Incident,2018-01-24 03:20:30.000000 UTC,180240250-87,94118
36,Medical Incident,2018-01-24 11:26:29.000000 UTC,180241582-74,94109
37,Medical Incident,2018-01-24 16:17:08.000000 UTC,180242769-58,94110
38,Medical Incident,2018-01-24 23:15:08.000000 UTC,180244069-E01,94103
39,Medical Incident,2018-01-24 13:34:18.000000 UTC,180242165-91,94109
40,Medical Incident,2018-01-24 17:06:42.000000 UTC,180242960-73,94114
41,Medical Incident,2018-01-24 16:56:59.000000 UTC,180242924-AM116,94111
42,Traffic Collision,2018-01-24 19:31:36.000000 UTC,180243473-E40,94122
43,Traffic Collision,2018-01-24 15:14:20.000000 UTC,180242571-E08,94158
44,Gas Leak (Natural and LP Gases),2018-01-24 21:24:04.000000 UTC,180243798-E28,94102
45,Alarms,2018-01-24 04:19:20.000000 UTC,180240313-E35,94107
46,Medical Incident,2018-01-24 07:24:45.000000 UTC,180240606-E07,94110
47,Medical Incident,2018-01-24 10:25:47.000000 UTC,180241313-79,94102
48,Traffic Collision,2018-01-24 14:36:10.000000 UTC,180242427-RS2,94114
49,Medical Incident,2018-01-24 18:49:47.000000 UTC,180243329-91,94109
50,Medical Incident,2018-01-24 23:57:45.000000 UTC,180244157-95,94109
51,Structure Fire,2018-01-24 23:52:02.000000 UTC,180244146-E28,94109
52,Medical Incident,2018-01-24 07:14:40.000000 UTC,180240577-52,94114
53,Medical Incident,2018-01-24 10:18:16.000000 UTC,180241278-AM110,94110
54,Alarms,2018-01-24 22:16:57.000000 UTC,180243931-T11,94110
55,Medical Incident,2018-01-24 17:56:24.000000 UTC,180243148-E35,94105
56,Medical Incident,2018-01-24 13:05:33.000000 UTC,180242033-AM106,94109
57,Medical Incident,2018-01-24 20:09:34.000000 UTC,180243606-E01,94107
58,Structure Fire,2018-01-24 23:52:02.000000 UTC,180244146-T03,94109
59,Medical Incident,2018-01-24 06:21:46.000000 UTC,180240433-E24,94114
60,Medical Incident,2018-01-24 20:23:03.000000 UTC,180243637-61,94102
61,Medical Incident,2018-01-24 18:32:04.000000 UTC,180243275-95,94102
62,Medical Incident,2018-01-24 04:37:30.000000 UTC,180240328-KM07,94102
63,Medical Incident,2018-01-24 00:49:37.000000 UTC,180240074-E38,94115
64,Medical Incident,2018-01-24 18:19:27.000000 UTC,180243226-E36,94103
65,Medical Incident,2018-01-24 16:30:08.000000 UTC,180242820-E03,94102
66,Alarms,2018-01-24 20:04:15.000000 UTC,180243588-B01,94109
67,Medical Incident,2018-01-24 19:30:32.000000 UTC,180243478-73,94110
68,Medical Incident,2018-01-24 15:13:44.000000 UTC,180242555-E35,94105
69,Medical Incident,2018-01-24 14:12:47.000000 UTC,180242328-83,94102
70,Medical Incident,2018-01-24 14:25:21.000000 UTC,180242385-E03,94109
71,Medical Incident,2018-01-24 11:54:29.000000 UTC,180241710-79,94108
72,Structure Fire,2018-01-24 19:35:15.000000 UTC,180243491-B05,94118
73,Medical Incident,2018-01-24 17:30:01.000000 UTC,180243050-E04,94158
74,Medical Incident,2018-01-24 11:51:21.000000 UTC,180241702-KM08,94102
75,Structure Fire,2018-01-24 14:33:15.000000 UTC,180242412-SO2,94117
76,Alarms,2018-01-24 22:25:09.000000 UTC,180243951-B10,94131
77,Medical Incident,2018-01-24 18:00:17.000000 UTC,180243153-E21,94117
78,Structure Fire,2018-01-24 14:33:15.000000 UTC,180242412-RS1,94117
79,Medical Incident,2018-01-24 08:35:12.000000 UTC,180240825-63,94102
80,Traffic Collision,2018-01-24 13:10:51.000000 UTC,180242059-E43,94112
81,Medical Incident,2018-01-24 07:54:49.000000 UTC,180240680-57,94124
82,Medical Incident,2018-01-24 21:38:41.000000 UTC,180243836-AM124,94107
83,Alarms,2018-01-24 23:15:04.000000 UTC,180244077-T01,94103
84,Alarms,2018-01-24 20:03:08.000000 UTC,180243590-T08,94107
85,Medical Incident,2018-01-24 18:17:15.000000 UTC,180243217-KM02,94103
86,Medical Incident,2018-01-24 03:03:33.000000 UTC,180240237-82,94118
87,Alarms,2018-01-24 22:25:09.000000 UTC,180243951-T07,94131
88,Medical Incident,2018-01-24 22:25:39.000000 UTC,180243948-KM07,94118
89,Medical Incident,2018-01-24 14:54:21.000000 UTC,180242487-56,94131
90,Medical Incident,2018-01-24 03:27:39.000000 UTC,180240259-55,94102
91,Alarms,2018-01-24 15:09:57.000000 UTC,180242545-E03,94102
92,Medical Incident,2018-01-24 12:31:04.000000 UTC,180241877-E28,94133
93,Alarms,2018-01-24 11:59:53.000000 UTC,180241726-T08,94103
94,Medical Incident,2018-01-24 08:45:53.000000 UTC,180240863-E21,94117
95,Medical Incident,2018-01-24 11:40:25.000000 UTC,180241644-65,94121
96,Medical Incident,2018-01-24 13:02:34.000000 UTC,180242018-E36,94103
97,Medical Incident,2018-01-24 15:03:18.000000 UTC,180242506-EMS6,94102
98,Medical Incident,2018-01-24 04:31:17.000000 UTC,180240323-72,94105
99,Medical Incident,2018-01-24 09:06:46.000000 UTC,180240941-KM08,94102
100,Structure Fire,2018-01-24 07:48:24.000000 UTC,180240672-D2,94104
101,Medical Incident,2018-01-24 08:24:32.000000 UTC,180240791-E32,94110
102,Medical Incident,2018-01-24 18:36:03.000000 UTC,180243287-55,94107
103,Medical Incident,2018-01-24 16:56:59.000000 UTC,180242924-T13,94111
104,Structure Fire,2018-01-24 19:35:15.000000 UTC,180243491-E12,94118
105,Medical Incident,2018-01-24 00:33:22.000000 UTC,180240048-94,94103
106,Alarms,2018-01-24 23:43:00.000000 UTC,180244131-B03,94103
107,Medical Incident,2018-01-24 15:46:20.000000 UTC,180242684-62,94102
108,Structure Fire,2018-01-24 23:52:02.000000 UTC,180244146-B01,94109
109,Medical Incident,2018-01-24 13:56:18.000000 UTC,180242259-E36,94102
110,Medical Incident,2018-01-24 11:28:31.000000 UTC,180241591-E03,94109
111,Medical Incident,2018-01-24 10:34:38.000000 UTC,180241358-57,94110
112,Medical Incident,2018-01-24 10:53:28.000000 UTC,180241452-E23,94121
113,Medical Incident,2018-01-24 15:49:03.000000 UTC,180242677-66,94102
114,Medical Incident,2018-01-24 16:25:57.000000 UTC,180242811-61,94109
115,Medical Incident,2018-01-24 04:31:17.000000 UTC,180240323-E08,94105
116,Medical Incident,2018-01-24 19:03:28.000000 UTC,180243381-65,94109
117,Traffic Collision,2018-01-24 17:49:12.000000 UTC,180243104-RC4,94112
118,Traffic Collision,2018-01-24 19:50:01.000000 UTC,180243535-57,94105
119,Medical Incident,2018-01-24 10:36:54.000000 UTC,180241354-62,94115
120,Alarms,2018-01-24 23:15:04.000000 UTC,180244077-E08,94103
121,Medical Incident,2018-01-24 14:10:45.000000 UTC,180242322-E01,94103
122,Medical Incident,2018-01-24 08:24:32.000000 UTC,180240791-62,94110
123,Medical Incident,2018-01-24 16:17:39.000000 UTC,180242774-79,94102
124,Outside Fire,2018-01-24 01:52:58.000000 UTC,180240163-E07,94110
125,Medical Incident,2018-01-24 07:39:17.000000 UTC,180240644-E36,94110
126,Alarms,2018-01-24 04:55:36.000000 UTC,180240342-T01,94102
127,Medical Incident,2018-01-24 16:41:09.000000 UTC,180242869-E31,94118
128,Medical Incident,2018-01-24 09:29:29.000000 UTC,180241033-74,94109
129,Gas Leak (Natural and LP Gases),2018-01-24 03:27:23.000000 UTC,180240255-B10,94107
130,Gas Leak (Natural and LP Gases),2018-01-24 03:27:23.000000 UTC,180240255-E29,94107
131,Medical Incident,2018-01-24 23:15:08.000000 UTC,180244069-85,94103
132,Medical Incident,2018-01-24 20:37:18.000000 UTC,180243671-71,94124
133,Medical Incident,2018-01-24 21:44:38.000000 UTC,180243847-E37,94107
134,Medical Incident,2018-01-24 21:46:59.000000 UTC,180243858-79,94115
135,Medical Incident,2018-01-24 06:04:12.000000 UTC,180240411-KM07,94158
136,Medical Incident,2018-01-24 11:17:17.000000 UTC,180241551-AM112,94105
137,Alarms,2018-01-24 22:16:57.000000 UTC,180243931-E11,94110
138,Medical Incident,2018-01-24 07:05:05.000000 UTC,180240538-KM08,94103
139,Electrical Hazard,2018-01-24 23:33:10.000000 UTC,180244115-E18,94116
140,Vehicle Fire,2018-01-24 06:26:09.000000 UTC,180240439-T15,94110
141,Medical Incident,2018-01-24 09:43:26.000000 UTC,180241097-E42,94124
142,Medical Incident,2018-01-24 21:46:59.000000 UTC,180243858-E10,94115
143,Alarms,2018-01-24 12:32:17.000000 UTC,180241882-T01,94105
144,Medical Incident,2018-01-24 10:06:06.000000 UTC,180241207-E18,94122
145,Medical Incident,2018-01-24 07:08:07.000000 UTC,180240558-AM124,94112
146,Medical Incident,2018-01-24 07:24:45.000000 UTC,180240606-82,94110
147,Medical Incident,2018-01-24 15:39:02.000000 UTC,180242653-88,94107
148,Alarms,2018-01-24 17:01:25.000000 UTC,180242938-B02,94102
149,Alarms,2018-01-24 14:37:03.000000 UTC,180242425-T03,94109
150,Medical Incident,2018-01-24 01:15:06.000000 UTC,180240110-E26,94131
151,Medical Incident,2018-01-24 20:54:41.000000 UTC,180243715-91,94134
152,Structure Fire,2018-01-24 23:52:02.000000 UTC,180244146-E41,94109
153,Alarms,2018-01-24 12:09:15.000000 UTC,180241783-E15,94112
154,Medical Incident,2018-01-24 19:43:51.000000 UTC,180243522-87,94102
155,Medical Incident,2018-01-24 08:24:49.000000 UTC,180240783-AM106,94105
156,Medical Incident,2018-01-24 16:40:13.000000 UTC,180242865-KM02,94123
157,Outside Fire,2018-01-24 23:41:10.000000 UTC,180244124-E38,94123
158,Medical Incident,2018-01-24 18:17:15.000000 UTC,180243217-AM108,94103
159,Medical Incident,2018-01-24 05:44:01.000000 UTC,180240385-E08,94110
160,Medical Incident,2018-01-24 22:59:37.000000 UTC,180244032-AM116,94109
161,Medical Incident,2018-01-24 15:15:49.000000 UTC,180242565-76,94127
162,Medical Incident,2018-01-24 07:39:17.000000 UTC,180240644-65,94110
163,Medical Incident,2018-01-24 11:14:39.000000 UTC,180241546-E07,94114
164,Medical Incident,2018-01-24 10:53:53.000000 UTC,180241457-E36,94102
165,Traffic Collision,2018-01-24 18:07:10.000000 UTC,180243176-E42,94134
166,Medical Incident,2018-01-24 07:07:52.000000 UTC,180240551-E01,94102
167,Medical Incident,2018-01-24 20:01:18.000000 UTC,180243575-82,94115
168,Medical Incident,2018-01-24 16:35:26.000000 UTC,180242848-RC2,94118
169,Traffic Collision,2018-01-24 15:14:20.000000 UTC,180242571-82,94158
170,Medical Incident,2018-01-24 07:53:45.000000 UTC,180240681-91,94134
171,Structure Fire,2018-01-24 13:13:37.000000 UTC,180242071-E28,94133
172,Medical Incident,2018-01-24 19:30:32.000000 UTC,180243478-71,94110
173,Medical Incident,2018-01-24 13:38:28.000000 UTC,180242173-E36,94102
174,Structure Fire,2018-01-24 08:27:11.000000 UTC,180240793-T03,94102
175,Medical Incident,2018-01-24 04:56:41.000000 UTC,180240344-82,94102
176,Traffic Collision,2018-01-24 13:10:51.000000 UTC,180242059-82,94112
177,Structure Fire,2018-01-24 21:35:26.000000 UTC,180243824-B10,94110
178,Alarms,2018-01-24 22:26:22.000000 UTC,180243952-T02,94133
179,Medical Incident,2018-01-24 23:44:44.000000 UTC,180244129-AM120,94134
180,Alarms,2018-01-24 17:01:25.000000 UTC,180242938-E36,94102
181,Medical Incident,2018-01-24 23:36:32.000000 UTC,180244113-53,94110
182,Medical Incident,2018-01-24 14:25:21.000000 UTC,180242385-79,94109
183,Medical Incident,2018-01-24 17:56:05.000000 UTC,180243128-E36,94103
184,Medical Incident,2018-01-24 05:11:34.000000 UTC,180240352-KM03,94109
185,Gas Leak (Natural and LP Gases),2018-01-24 10:58:33.000000 UTC,180241464-T12,94122
186,Structure Fire,2018-01-24 12:24:27.000000 UTC,180241852-79,94102
187,Medical Incident,2018-01-24 17:56:05.000000 UTC,180243128-74,94103
188,Traffic Collision,2018-01-24 19:31:25.000000 UTC,180243481-71,94110
189,Traffic Collision,2018-01-24 17:49:12.000000 UTC,180243104-E43,94112
190,Alarms,2018-01-24 09:43:42.000000 UTC,180241094-E31,94121
191,Alarms,2018-01-24 11:59:53.000000 UTC,180241726-B03,94103
192,Citizen Assist / Service Call,2018-01-24 18:07:59.000000 UTC,180243193-E29,94103
193,Alarms,2018-01-24 20:29:54.000000 UTC,180243659-T14,94121
194,Citizen Assist / Service Call,2018-01-24 19:52:50.000000 UTC,180243555-E37,94107
195,Medical Incident,2018-01-24 22:15:16.000000 UTC,180243922-73,94110
196,Alarms,2018-01-24 22:25:09.000000 UTC,180243951-B06,94131
197,Medical Incident,2018-01-24 08:23:45.000000 UTC,180240787-E36,94102
198,Alarms,2018-01-24 10:05:08.000000 UTC,180241203-E01,94107
199,Fuel Spill,2018-01-24 18:46:36.000000 UTC,180243315-E32,94110
200,Medical Incident,2018-01-24 01:24:30.000000 UTC,180240133-E36,94110
201,Medical Incident,2018-01-24 13:34:18.000000 UTC,180242165-E03,94109
202,Structure Fire,2018-01-24 07:48:24.000000 UTC,180240672-T10,94104
203,Alarms,2018-01-24 19:34:50.000000 UTC,180243501-E38,94123
204,Medical Incident,2018-01-24 15:23:25.000000 UTC,180242608-89,94118
205,Alarms,2018-01-24 06:07:00.000000 UTC,180240417-E35,94105
206,Medical Incident,2018-01-24 23:16:53.000000 UTC,180244074-82,94103
207,Medical Incident,2018-01-24 07:53:45.000000 UTC,180240681-E42,94134
208,Structure Fire,2018-01-24 21:35:26.000000 UTC,180243824-B06,94110
209,Medical Incident,2018-01-24 12:30:40.000000 UTC,180241870-83,94102
210,Medical Incident,2018-01-24 11:02:58.000000 UTC,180241493-AM108,94102
211,Medical Incident,2018-01-24 02:16:59.000000 UTC,180240195-70,94105
212,Medical Incident,2018-01-24 22:51:53.000000 UTC,180244012-RC1,94102
213,Citizen Assist / Service Call,2018-01-24 14:23:35.000000 UTC,180242375-T12,94131
214,Medical Incident,2018-01-24 14:43:50.000000 UTC,180242456-81,94107
215,Medical Incident,2018-01-24 22:13:33.000000 UTC,180243928-93,94109
216,Medical Incident,2018-01-24 00:49:37.000000 UTC,180240074-91,94115
217,Medical Incident,2018-01-24 18:59:49.000000 UTC,180243363-E06,94117
218,Medical Incident,2018-01-24 16:41:09.000000 UTC,180242869-59,94118
219,Medical Incident,2018-01-24 16:56:59.000000 UTC,180242924-66,94111
220,Medical Incident,2018-01-24 10:58:07.000000 UTC,180241476-E05,94114
221,Alarms,2018-01-24 15:05:15.000000 UTC,180242522-E38,94115
222,Medical Incident,2018-01-24 11:02:58.000000 UTC,180241493-E03,94102
223,Medical Incident,2018-01-24 11:50:49.000000 UTC,180241691-E29,94110
224,Medical Incident,2018-01-24 13:21:28.000000 UTC,180242112-E14,94121
225,Medical Incident,2018-01-24 06:38:25.000000 UTC,180240466-85,94109
226,Structure Fire,2018-01-24 14:33:15.000000 UTC,180242412-65,94117
227,Medical Incident,2018-01-24 14:26:21.000000 UTC,180242393-58,94103
228,Medical Incident,2018-01-24 22:39:34.000000 UTC,180243980-E22,94122
229,Medical Incident,2018-01-24 04:00:41.000000 UTC,180240299-87,94102
230,Alarms,2018-01-24 15:05:15.000000 UTC,180242522-B04,94115
231,Medical Incident,2018-01-24 03:28:35.000000 UTC,180240257-E01,94103
232,Alarms,2018-01-24 19:34:50.000000 UTC,180243501-B04,94123
233,Structure Fire,2018-01-24 13:13:37.000000 UTC,180242071-B01,94133
234,Traffic Collision,2018-01-24 17:07:02.000000 UTC,180242956-E29,94103
235,Medical Incident,2018-01-24 23:16:04.000000 UTC,180244073-E34,94121
236,Medical Incident,2018-01-24 16:41:09.000000 UTC,180242869-RC2,94118
237,Medical Incident,2018-01-24 11:14:39.000000 UTC,180241546-KM02,94114
238,Medical Incident,2018-01-24 08:41:04.000000 UTC,180240850-AM104,94110
239,Medical Incident,2018-01-24 10:35:31.000000 UTC,180241351-63,94109
240,Medical Incident,2018-01-24 01:02:15.000000 UTC,180240091-E01,94103
241,Medical Incident,2018-01-24 07:56:26.000000 UTC,180240690-E03,94102
242,Medical Incident,2018-01-24 10:44:25.000000 UTC,180241402-KM15,94116
243,Medical Incident,2018-01-24 11:54:29.000000 UTC,180241710-E02,94108
244,Alarms,2018-01-24 16:59:46.000000 UTC,180242933-B03,94108
245,Medical Incident,2018-01-24 11:14:39.000000 UTC,180241546-E05,94114
246,Medical Incident,2018-01-24 21:14:27.000000 UTC,180243780-55,94109
247,Medical Incident,2018-01-24 10:03:16.000000 UTC,180241197-89,94102
248,Medical Incident,2018-01-24 07:07:49.000000 UTC,180240546-79,94103
249,Medical Incident,2018-01-24 13:56:22.000000 UTC,180242266-AM108,94124
250,Medical Incident,2018-01-24 08:11:03.000000 UTC,180240731-E31,94118
251,Medical Incident,2018-01-24 19:02:14.000000 UTC,180243378-E05,94102
252,Structure Fire,2018-01-24 13:13:37.000000 UTC,180242071-T16,94133
253,Medical Incident,2018-01-24 19:02:14.000000 UTC,180243378-T06,94102
254,Medical Incident,2018-01-24 22:19:13.000000 UTC,180243933-E36,94103
255,Medical Incident,2018-01-24 16:41:09.000000 UTC,180242869-RC3,94118
256,Alarms,2018-01-24 15:49:23.000000 UTC,180242685-T01,94105
257,Alarms,2018-01-24 04:19:20.000000 UTC,180240313-B03,94107
258,Medical Incident,2018-01-24 22:39:09.000000 UTC,180243985-E10,94117
259,Medical Incident,2018-01-24 11:12:57.000000 UTC,180241528-91,94131
260,Structure Fire,2018-01-24 00:19:30.000000 UTC,180240052-E03,94109
261,Alarms,2018-01-24 02:09:42.000000 UTC,180240180-E35,94105
262,Structure Fire,2018-01-24 19:35:15.000000 UTC,180243491-B07,94118
263,Alarms,2018-01-24 20:29:54.000000 UTC,180243659-E14,94121
264,Medical Incident,2018-01-24 15:53:03.000000 UTC,180242698-73,94110
265,Traffic Collision,2018-01-24 17:07:02.000000 UTC,180242956-82,94103
266,Alarms,2018-01-24 10:43:08.000000 UTC,180241394-E02,94133
267,Structure Fire,2018-01-24 12:24:27.000000 UTC,180241852-D2,94102
268,Alarms,2018-01-24 23:20:27.000000 UTC,180244089-E11,94110
269,Medical Incident,2018-01-24 07:23:38.000000 UTC,180240599-E03,94102
270,Traffic Collision,2018-01-24 18:37:06.000000 UTC,180243283-E06,94102
271,Medical Incident,2018-01-24 09:29:29.000000 UTC,180241033-E38,94109
272,Medical Incident,2018-01-24 16:42:02.000000 UTC,180242870-T12,94117
273,Medical Incident,2018-01-24 18:11:09.000000 UTC,180243200-E41,94109
274,Medical Incident,2018-01-24 11:42:14.000000 UTC,180241653-KM11,94102
275,Traffic Collision,2018-01-24 17:27:37.000000 UTC,180243037-93,94124
276,Medical Incident,2018-01-24 04:24:03.000000 UTC,180240316-KM03,94102
277,Alarms,2018-01-24 21:18:56.000000 UTC,180243782-T07,94110
278,Medical Incident,2018-01-24 13:43:55.000000 UTC,180242198-50,94124
279,Medical Incident,2018-01-24 10:58:07.000000 UTC,180241476-KM08,94114
280,Medical Incident,2018-01-24 16:17:39.000000 UTC,180242774-74,94102
281,Alarms,2018-01-24 12:09:15.000000 UTC,180241783-B09,94112
282,Medical Incident,2018-01-24 09:21:51.000000 UTC,180241003-AM106,94117
283,Medical Incident,2018-01-24 19:14:37.000000 UTC,180243416-61,94109
284,Medical Incident,2018-01-24 19:10:19.000000 UTC,180243408-64,94134
285,Medical Incident,2018-01-24 08:35:12.000000 UTC,180240825-E03,94102
286,Alarms,2018-01-24 23:43:00.000000 UTC,180244131-T01,94103
287,Medical Incident,2018-01-24 04:27:16.000000 UTC,180240317-AM124,94102
288,Medical Incident,2018-01-24 10:08:58.000000 UTC,180241221-KM11,94102
289,Structure Fire,2018-01-24 23:52:02.000000 UTC,180244146-72,94109
290,Medical Incident,2018-01-24 17:08:19.000000 UTC,180242965-E05,94103
291,Medical Incident,2018-01-24 10:52:15.000000 UTC,180241440-88,94108
292,Structure Fire,2018-01-24 00:19:30.000000 UTC,180240052-B04,94109
293,Structure Fire,2018-01-24 07:48:24.000000 UTC,180240672-B07,94104
294,Medical Incident,2018-01-24 09:43:26.000000 UTC,180241097-T17,94124
295,Outside Fire,2018-01-24 01:47:16.000000 UTC,180240154-E07,94110
296,Medical Incident,2018-01-24 05:09:52.000000 UTC,180240350-E32,94110
297,Medical Incident,2018-01-24 18:42:37.000000 UTC,180243304-85,94105
298,Structure Fire,2018-01-24 01:37:35.000000 UTC,180240145-T15,94112
