call_type,zipcode_of_incident,dispatch_time
Medical Incident,94121,3:25
Medical Incident,94103,0:26
Medical Incident,94122,1:43
Alarms,94109,1:09
Alarms,94107,2:49
Alarms,94110,2:22
Structure Fire,94102,2:29
Traffic Collision,94103,2:12
Alarms,94133,1:25
Medical Incident,94134,2:06
Medical Incident,94102,1:38
Medical Incident,94111,9:42
Medical Incident,94114,3:36
Medical Incident,94103,3:33
Medical Incident,94110,3:31
Structure Fire,94109,15:39
Medical Incident,94103,2:14
Medical Incident,94131,6:50
Medical Incident,94117,4:54
Structure Fire,94102,1:20
Medical Incident,94103,1:25
Medical Incident,94107,1:08
Medical Incident,94117,0:29
Medical Incident,94133,10:18
Medical Incident,94102,1:42
Medical Incident,94117,1:45
Medical Incident,94102,2:43
Other,94134,2:37:58
Medical Incident,94110,2:19
Medical Incident,94102,2:15
Medical Incident,94102,1:20
Medical Incident,94109,2:38
Structure Fire,94117,1:28
Medical Incident,94103,1:40
Medical Incident,94112,1:17
Medical Incident,94118,1:08
Medical Incident,94109,26:13:00
Medical Incident,94110,1:00
Medical Incident,94103,1:17
Medical Incident,94109,2:06
Medical Incident,94114,2:00
Medical Incident,94111,0:40
Traffic Collision,94122,0:35
Traffic Collision,94158,5:57
Gas Leak (Natural and LP Gases),94102,3:09
Alarms,94107,2:42
Medical Incident,94110,1:33
Medical Incident,94102,2:44
Traffic Collision,94114,2:38
Medical Incident,94109,3:28
Medical Incident,94109,0:19
Structure Fire,94109,6:09
Medical Incident,94114,3:05
Medical Incident,94110,2:18
Alarms,94110,4:05
Medical Incident,94105,1:29
Medical Incident,94109,1:44
Medical Incident,94107,0:19
Structure Fire,94109,2:32
Medical Incident,94114,0:41
Medical Incident,94102,3:36
Medical Incident,94102,2:52
Medical Incident,94102,4:41
Medical Incident,94115,2:15
Medical Incident,94103,0:50
Medical Incident,94102,1:09
Alarms,94109,5:00
Medical Incident,94110,0:39
Medical Incident,94105,1:20
Medical Incident,94102,2:03
Medical Incident,94109,3:26
Medical Incident,94108,1:00
Structure Fire,94118,2:05
Medical Incident,94158,3:01
Medical Incident,94102,57:18:00
Structure Fire,94117,1:54
Alarms,94131,13:13
Medical Incident,94117,1:28
Structure Fire,94117,0:47
Medical Incident,94102,0:49
Traffic Collision,94112,2:16
Medical Incident,94124,3:00
Medical Incident,94107,3:28
Alarms,94103,2:49
Alarms,94107,6:42
Medical Incident,94103,1:15
Medical Incident,94118,1:54
Alarms,94131,0:29
Medical Incident,94118,10:06
Medical Incident,94131,4:16
Medical Incident,94102,1:40
Alarms,94102,2:46
Medical Incident,94133,1:57
Alarms,94103,1:45
Medical Incident,94117,2:05
Medical Incident,94121,3:32
Medical Incident,94103,5:21
Medical Incident,94102,2:16
Medical Incident,94105,0:59
Medical Incident,94102,3:40
Structure Fire,94104,2:50
Medical Incident,94110,4:23
Medical Incident,94107,0:40
Medical Incident,94111,1:00
Structure Fire,94118,3:23
Medical Incident,94103,4:13
Alarms,94103,4:21
Medical Incident,94102,0:19
